zone_id,area
0,3300738.02835025
1,545042.9777606931
2,1278837.6037299552
3,2718344.3831674308
4,798965.2822864889
5,690825.3745058371
6,475166.8318043916
7,1943923.3924897257
8,539533.8647700393
9,834210.1820222524
10,1443208.1018289877
11,282555.01348953205
12,323760.68074737914
13,1237298.5079833698
14,401394.52487164445
15,394854.72435897536
