passation_hour_pre,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff,passation_hour_post,art_knowledge,art_involvement,visit_rate,taking_audioguide,application_interest,appli_knowledge,satisfaction,goals_reached,device_trouble,crowd_trouble,dist_sensation,multiple_paths,recsys_personalization,diversity,theme_path,geolocalisation_acceptance,context_dependence,mood_dependence,sleepiness_dependence,end_visit_physical_sleepiness,end_visit_mental_sleepiness,panel_interest,memory_test_fr,surprise_event_fr,comments_fr,memory_test_en,surprise_event_en,comments_en,musHabit_archeo,musHabit_histArt,musHabit_castle,musHabit_contemporary,musHabit_else,musHabit_fineArt,musHabit_natHist,musHabit_nature,musHabit_none,musDisco_else,musDisco_familyFriends,musDisco_magazine,musDisco_media,musDisco_nothing,musDisco_socNetwork,wantedFunc_catalog,wantedFunc_else,wantedFunc_games,wantedFunc_map,wantedFunc_nothing,wantedFunc_reco,wantedFunc_thematicTour,visit_duration_limited,gender_code
2019/02/20 3:09:10 PM UTC+2,201902201400,33,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,5,3,3,5,Yes,1,Several years ago,group,90,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2019/02/20 4:40:48 PM UTC+2,Low level,No involvement,A few times a year,Yes,Yes,No,4,5,1,1,4,0,0,0,0,0,1,2,2,4,1,4,"J'ai appris que dans l'art japonais, ce qui avait lancé l'exportation d’œuvres japonaises, c'est qu'ils ont été forcés par les américains à ouvrir leurs frontières.",Les tableaux de Friant pour les visages,"On oublie les lunettes d'eye-tracking pendant la visite, on a juste l'impression d'étonner les autres visiteurs.","I learned that in Japanese art, what had launched the export of Japanese works was that they were forced by the Americans to open their borders.",Friant's paintings of faces,"You forget the eye-tracking glasses during the visit, you just feel like you're surprising the other visitors.",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1.0
2019/02/20 3:09:38 PM UTC+2,201902201410,34,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,4,3,4,5,Yes,4,Several months ago,group,120,"Normal vision with visual correction device (glasses, lenses)",3,2,4,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2019/02/20 4:40:10 PM UTC+2,General level,No involvement,A few times a year,Yes,Yes,No,4,4,1,1,2,4,5,3,4,4,2,4,2,2,3,4,"Emile Friant est nancéien, les impressionniste sont fin 19ième, début 20ième",Rien,Rien,"Emile Friant is from Nancy, the Impressionists are from the late 19th and early 20th centuries.",Nothing,Nothing,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1.0
2019/02/20 4:59:37 PM UTC+2,201902201600,55,man,"Velle-sur-Moselle, France",french,Native/bilingual,BTEC Higher National Diploma,1,5,5,1,5,Yes,2,About a year ago,group,unlimited,Normal vision,1,1,5,5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,2019/02/20 5:59:11 PM UTC+2,General level,No involvement,A few times a year,Yes,Yes,No,4,4,1,1,1,5,1,5,3,3,1,1,1,1,1,4,J'ai passé plus de temps sur la partie RDC. J'ai appris qu'il y avait un grand nombre d'artistes dont je connaissais le nom mais pour lesquels j'ignorais qu'ils étaient lorrains ou ayant habité Nancy.,L'art contemporain ça me surprend toujours.,Rien,"I spent more time on the ground floor section. I learned that there were a large number of artists whose names I knew, but who I didn't know were from Lorraine or had lived in Nancy.",Contemporary art always surprises me.,Nothing,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1.0
2019/02/20 5:01:38 PM UTC+2,201902201610,56,woman,"Velle-sur-Moselle, France",french,Native/bilingual,BTEC Higher National Diploma,3,5,5,1,5,Yes,5,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,2,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019/02/20 5:57:38 PM UTC+2,General level,No involvement,A few times a year,Yes,Yes,No,4,4,3,1,1,4,5,5,5,2,3,4,2,1,1,0,Revu des tableaux apprécié,"Il manque beaucoup de tableaux qui sont en cours d'affichage, deux oeuvres contemporaines immenses une en noir et blanc et l'autre en gris qui prennent la moitié d'un mur",Rien,I saw once again some much-loved paintings,"A lot of the paintings on display are missing, two huge contemporary works, one in black and white and the other in gray, which take up half a wall.",Nothing,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0.0
2019/02/21 2:10:00 PM UTC+2,201902211400,36,man,"Nancy, France",french,Native/bilingual,PhD,2,4,3,2,4,Yes,20,A few weeks ago,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,3,5,5,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,2019/02/21 4:30:08 PM UTC+2,General level,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,5,5,3,1,2,4,3,5,4,5,2,1,2,2,3,4,"J'ai découvert que les deux grands tableaux dans le hall d'entrée ont été réalisés pour Louis XIV. De même il y a un grand tableau au 1er étage pour Marie Leczinska, femme de Louix XV. J'ai appris que les dragons représentaient le Yang dans la culture japonaise. Et j'ai appris qu'il y avait un tableau de Georges de la Tour (le souffleur à la pipe) qui existe en 9 versions différentes. Celui exposé au musée des beaux-arts de Nancy fait partie du trésor de guerre nazi puisqu'il a été acquis par Göring dans des conditions troubles.","Il y a deux portraits au 1er étage dont les protagonistes sont très ressemblants avec des acteurs contemporains. L'auto-portrait de Falconnet qui me fait penser à Christoph Walt et un autre portrait qui ressemble à Mark Hamill. J'ai été surpris également par le tableau équestre d'une femme au 1er étage datant du XVIIème siècle. Elle est habillée comme un homme et de loin on dirait un homme ce qui, je pense, est rare pour l'époque. La forme de certains tableaux est également étonnante (tableau en forme de lunettes près de l'escalier au bout de la salle Prouvé. Enfin j'ai lu qu'un peintre dont j'ai oublié le nom (au RDC) avait peint un enterrement avec l'idée de montrer le sentiment d'accomplissement d'une tâche pénible.",J'aime beaucoup Emile Friant. Je suis toujours un peu dérouté sur le sens de visite dans la grande salle du RDC.,"I discovered that the two large paintings in the entrance hall were made for Louis XIV. Similarly, there's a large painting on the 1st floor for Marie Leczinska, wife of Louix XV. I learned that dragons represent Yang in Japanese culture. And I learned that there's a painting by Georges de la Tour (the pipe-blower) that exists in 9 different versions. The one on display at Nancy's Musée des Beaux-Arts is part of the Nazi war treasure trove, having been acquired by Göring under murky circumstances.","There are two portraits on the 1st floor whose protagonists are very similar to contemporary actors. Falconnet's self-portrait reminds me of Christoph Walt, and another portrait resembles Mark Hamill. I was also surprised by the 17th-century equestrian painting of a woman on the 1st floor.She's dressed like a man and from a distance looks like a man, which I think is rare for the period. The shape of some of the paintings is also astonishing (the spectacle-shaped painting near the staircase at the end of the Prouvé room). Finally, I read that a painter whose name I've forgotten (in the ground floor) painted a funeral with the idea of showing the feeling of accomplishment of a painful task.",I really like Emile Friant. I'm still a bit confused about the direction of the visit in the large room on the ground floor.,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1.0
2019/02/21 4:38:45 PM UTC+2,201902211600,46,man,"Fleville, France",french,Native/bilingual,BTEC Higher National Diploma,1,5,5,5,3,No,0,Never,group,unlimited,Normal vision,4,1,2,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2019/02/21 5:19:21 PM UTC+2,Low level,No involvement,rarely or never,No,Yes,No,4,4,1,1,1,3,3,5,5,5,2,2,4,1,1,4,On a vu la peinture du sauvetage d'une fille de la mythologie (Persée). Nous avons vu une film racontant la même histoire il y a pas longtemps.,Il y a beaucoup de scènes bibliques.,Rien,We saw the painting of the rescue of a mythological girl (Perseus). We saw a film telling the same story not long ago.,There are a lot of biblical scenes.,Nothing,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1.0
2019/02/21 4:40:03 PM UTC+2,201902211610,12,woman,"Fleville, France",french,Native/bilingual,No diploma,1,3,3,2,3,Yes,1,Several years ago,group,unlimited,Normal vision,2,1,3,5,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2019/02/21 5:20:19 PM UTC+2,No knowledge,No involvement,rarely or never,No,Yes,No,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1,4,La peinture avec Persée et Pégase,Rien,Rien,Painting with Perseus and Pegasus,Nothing,Nothing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0
2019/02/21 5:24:25 PM UTC+2,201902211700,43,woman,"Fleville, France",french,Native/bilingual,A levels,1,2,4,1,5,No,0,Never,group,unlimited,Normal vision,1,1,3,5,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2019/02/21 6:20:49 PM UTC+2,Low level,No involvement,A few times a year,Yes,Yes,No,5,4,1,1,1,5,1,5,5,5,3,2,1,1,2,3,J'ai vu le baptême du Christ au 2ème étage. Il y a un autre tableau de Doré représentant une forêt inspirée des Vosges.,Un tableau en longueur avec une femme et un chien au RDC.,Rien,I saw the Baptism of Christ on the 2nd floor. There's another painting by Doré depicting a forest inspired by the Vosges.,A long painting with a woman and a dog on the ground floor.,Nothing,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0.0
2019/02/21 5:28:14 PM UTC+2,201902211710,19,woman,"Fleville, France",french,Native/bilingual,Middle school,1,4,1,1,5,No,0,Never,group,unlimited,Normal vision,1,1,3,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2019/02/21 6:20:40 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,4,5,1,1,2,0,0,0,0,0,1,1,1,1,1,1,Rien,La grandeur de certains de tableaux,Rien,Nothing,The grandeur of some of the paintings,Nothing,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0.0
2019/02/22 11:25:48 AM UTC+2,201902221010,14,woman,"Neuves-maisons, France",french,Native/bilingual,Middle school,3,2,4,3,4,No,0,Never,group,unlimited,Normal vision,2,1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2019/02/22 12:56:05 PM UTC+2,Low level,No involvement,A few times a year,Yes,Yes,No,4,5,2,1,2,5,2,5,5,4,3,3,3,2,2,4,Il y a un tableau intéressant au 1er étage sur la destruction du temple d'Arnide. Il y avait beaucoup de détails.,Rien,Rien,There's an interesting painting on the 1st floor about the destruction of Arnide's temple. There was a lot of detail.,Nothing,Nothing,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0.0
2019/02/22 11:26:27 AM UTC+2,201902221020,14,woman,"Neuves-maisons, France",french,Native/bilingual,Middle school,1,4,5,3,3,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",4,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019/02/22 12:55:06 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,5,5,4,1,2,4,4,4,2,5,1,1,2,3,3,3,Rien,"La taille des tableaux, certains sont très grands",Rien,Nothing,"The size of the paintings, some are very large.",Nothing,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0.0
2019/02/22 3:09:24 PM UTC+2,201902221400,21,man,"Nancy, France",Syrian,Advanced,A levels,3,4,4,3,4,Yes,2,About a year ago,alone,unlimited,Normal vision,2,2,3,4,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2019/02/22 4:45:42 PM UTC+2,General level,No involvement,One or more times a month,No,Yes,Yes but I did not use it during the visit,5,5,4,3,2,5,5,5,4,5,4,4,4,2,1,4,J'ai remarqué qu'il y avait une erreur sur le lien de décès de l'artiste Étienne Cournault. Il s'agit d'un artiste que j'apprécie et il y a une information contradictoire sur le lieu de sa mort entre deux cartels différents ce qui m'a permis de découvrir qu'il est mort à Malzéville et non pas à Paris.,Rien,Rien,"I noticed an error on the death link for artist Étienne Cournault. He's an artist I like, and there's contradictory information on the place of his death between two different cartels, which allowed me to discover that he died in Malzéville and not in Paris.",Nothing,Nothing,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1.0
2019/02/22 3:10:22 PM UTC+2,201902221410,36,woman,"Charleville-Mézières, France",belgian,Native/bilingual,"BA, BS/BSc",1,4,4,1,4,No,0,Never,group,120,Normal vision,1,1,3,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2019/02/22 4:50:35 PM UTC+2,Art lover,No involvement,A few times a year,Yes,Yes,No,5,4,3,1,1,0,0,0,0,0,4,5,1,1,3,5,"Énormément de peintre flamand, thématique religion, beaucoup d'anciens tableaux","La pièce miroir/lumière, vraiment bonne surprise : féérique",Rien,"Lots of Flemish painters, religious themes, lots of old paintings","The mirror/light room, a really good surprise: enchanting",Nothing,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0.0
2019/02/22 5:06:10 PM UTC+2,201902221600,28,man,"Nancy, France",french,Native/bilingual,PhD,5,2,3,5,5,No,0,Never,group,unlimited,Normal vision,2,1,4,5,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2019/02/22 6:16:44 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,4,5,1,1,1,4,5,3,4,5,5,4,1,1,4,3,"Certains tableaux ne sont pas uniquement des dessins mais souvent c'est un témoignage du passé, ça raconte une vraie histoire.",Il n'y a aucun homme qui a des poils sur le torse.,Rien,"Some paintings are not just drawings, but often a testimony to the past, telling a real story.",No man has chest hair.,Nothing,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1.0
2019/02/22 5:08:23 PM UTC+2,201902221610,27,non_binary,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,4,1,5,5,Yes,3,Several years ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,1,2,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2019/02/22 6:17:49 PM UTC+2,No knowledge,No involvement,A few times a year,Yes,Yes,No,4,5,5,1,3,5,5,5,5,3,3,5,4,4,2,1,Les torses d'homme sont toujours imberbes,Sensibilité particulière au traitement de la lumière dans les tableaux et les cadres qui sont très impressionnants,Rien,Men's torsos are always beardless,"Particular sensitivity to the treatment of light in the paintings and frames, which are very impressive.",Nothing,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,
2019/02/23 1:10:15 PM UTC+2,201902231200,28,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,2,3,3,4,Yes,1,Several years ago,alone,unlimited,Normal vision,3,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2019/02/23 2:20:56 PM UTC+2,Low level,No involvement,A few times a year,No,No,No,4,4,3,1,2,0,0,0,0,0,2,2,3,4,3,5,"J'ai appris que les styles de siège de la première salle au RDC avaient un style épuré (recherche de formes simples géométriquement) [Collection Prouvé]. Au 2ème étage, une femme est représentée avec plein de légumes par terre jonchant le sol et ces légumes représentent les 4 saisons. Cela signifie que la scène est immuable par rapport au temps car il y a des légumes frais des 4 saisons.",La taille de certains tableaux qui sont vraiment très grands,Rien,"I learned that the seating styles in the first room on the ground floor had a purified style (search for geometrically simple forms) [Collection Prouvé]. On the 2nd floor, a woman is depicted with lots of vegetables on the ground, representing the 4 seasons. This means that the scene is unchanging with respect to time, as there are fresh vegetables from all 4 seasons.","The size of some of the paintings, which are really quite large.",Nothing,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0
2019/02/25 1:06:50 PM UTC+2,201902251200,48,man,"vignot, France",french,Native/bilingual,PhD,1,3,4,3,5,No,0,Never,alone,90,"Normal vision with visual correction device (glasses, lenses)",3,2,2,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2019/02/25 2:42:04 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,4,4,1,1,3,0,0,0,0,0,1,1,1,2,1,5,J'en ai appris davantage sur les mouvements des peintres flamands au XVIème siècle que je connaissais peu,Je n'ai pas trouvé une grande cohérence dans la collection du XXème siècle,Rien,"I learned more about the movements of Flemish painters in the 16th century, which I knew little about.",I didn't find much coherence in the 20th century collection,Nothing,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1.0
2019/03/01 11:20:29 AM UTC+2,201903011020,20,woman,"Nancy, France",french,Native/bilingual,A levels,2,1,3,1,5,Yes,10,Several months ago,group,unlimited,Normal vision,1,1,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2019/03/01 12:55:41 PM UTC+2,General level,No involvement,One or more times a month,No,Yes,No,5,5,4,1,2,3,5,5,4,5,4,3,4,4,1,5,Emile Friant n'a pas peint les deux tableaux de la Toussaint en même temps.,Rien,Rien,Emile Friant did not paint the two All Saints' paintings at the same time.,Nothing,Nothing,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0.0
2019/03/01 11:20:30 AM UTC+2,201903011010,20,woman,"Nancy, France",french,Native/bilingual,A levels,1,5,4,1,5,Yes,10,Several months ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2019/03/01 12:55:42 PM UTC+2,General level,No involvement,One or more times a month,No,Yes,No,5,5,1,1,1,0,0,0,0,0,3,3,3,1,1,4,Deux tableaux d'Emile Friant pas en même temps représentant même scène (La Toussaint),voir ci-dessus,Rien,"Two paintings by Emile Friant, not at the same time, depicting the same scene (La Toussaint).",Nothing,Nothing,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.0
2019/03/01 5:06:39 PM UTC+2,201903011610,24,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,1,3,5,5,No,0,Never,group,unlimited,Normal vision,3,4,3,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2019/03/01 6:22:47 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,4,5,2,1,2,3,4,5,4,5,5,5,3,3,4,5,j'ai appris comment fonctionnaient les techniques de gravure (en creusant dans du bois).,j'ai été surpris par une poupée créée à partir de verre soufflé   ,Rien,I learned how engraving techniques worked (by digging into wood).,I was surprised by a doll created from blown glass,Nothing,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0.0
2019/03/01 5:06:41 PM UTC+2,201903011600,24,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,4,5,Yes,4,Several years ago,group,unlimited,Normal vision,2,2,4,4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2019/03/01 6:22:47 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,5,5,4,2,2,5,1,4,5,5,5,3,4,4,4,4,"Je n'avais jamais vu d'estampes japonaises et j'ai appris à les découvrir à travers l'exposition sur le japon, ainsi que les sabres japonais, sculptures en bois, la poupée en verre.",Beaucoup d'oeuvres religieuse.,Rien,"I'd never seen Japanese prints before, and I learned all about them at the Japan exhibition, along with Japanese swords, wooden sculptures and glass dolls.",Lots of religious works.,Nothing,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1.0
2019/03/02 3:08:23 PM UTC+2,201903021410,20,man,"Nancy, France",french,Native/bilingual,BTEC Higher National Diploma,3,4,3,4,5,Yes,1,About a year ago,group,unlimited,Normal vision,3,3,3,4,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,2019/03/02 4:42:16 PM UTC+2,General level,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,4,4,3,2,3,4,4,4,4,5,2,2,2,3,3,3,"J'ai découvert des titres des œuvres et des peintres... Par exemple Michel-Ange, il y en a une au 1er étage (des natures mortes)",C'était beaucoup en lien avec la religion chrétienne,On a préféré commencer par le 2ème étage et redescendre par la suite (optimisation du chemin),"I discovered titles of works and painters... For example Michelangelo, there's one on the 1st floor (still lifes)",A lot of it had to do with the Christian religion.,We preferred to start on the 2nd floor and work our way down (path optimization).,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1.0
2019/03/02 3:08:26 PM UTC+2,201903021400,22,woman,"Nancy, France",moroccan,Native/bilingual,BTEC Higher National Diploma,2,4,2,4,4,Yes,3,Several months ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,3,2,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2019/03/02 4:42:23 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,4,4,3,2,2,2,4,4,4,5,5,3,4,4,4,3,"J'ai découvert des oeuvres en particulier : La jeune fille et la mort, Paysage de montagne, Automne, les natures mortes.. J'ai apprécié l'aspect esthétique",J'ai vu une oeuvre qui représentait la flagellation de jésus qui était très graphique,Rien,"I discovered some works in particular: La jeune fille et la mort, Paysage de montagne, Automne, les natures mortes... I appreciated the aesthetic aspect","I saw a work depicting the flagellation of Jesus, which was very graphic.",Nothing,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0.0
2019/03/02 5:05:58 PM UTC+2,201903021610,31,man,"Nancy, France",french,Native/bilingual,A levels,3,5,3,4,5,Yes,20,Several months ago,group,90,"Normal vision with visual correction device (glasses, lenses)",2,2,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2019/03/02 6:56:28 PM UTC+2,General level,Professional/Artist,A few times a year,No,Yes,Yes but I did not use it during the visit,5,5,4,1,3,5,5,5,5,5,3,4,3,3,1,4,J'en ai appris quant aux techniques sur les lumières et les textures par l'observation,des choix artistiques qui m'avaient parfois semblé anachroniques vis à vis de l'époque où ont été réalisées certaines œuvres.,Rien,I learned about light and texture techniques through observation.,artistic choices that sometimes seemed anachronistic in relation to the era in which certain works were created.,Nothing,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1.0
2019/03/02 5:06:01 PM UTC+2,201903021600,23,woman,"Nancy, France",french,Native/bilingual,A levels,3,5,4,1,5,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,1,4,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2019/03/02 6:54:00 PM UTC+2,Art lover,No involvement,A few times a year,No,Yes,No,5,4,1,1,2,5,4,4,5,2,1,2,1,1,3,4,"Le nom de plusieurs artistes ou tableaux (par exemple ""Les voluptueux"")","La présence des ""Fantômes"" d'oeuvres",Rien,The name of several artists or paintings (e.g. “Les voluptueux”),The presence of “ghosts” of artworks,Nothing,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0.0
2019/03/04 11:23:27 AM UTC+2,201903041020,20,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,4,2,4,4,Yes,2,Several years ago,group,unlimited,Normal vision,4,4,4,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2019/03/04 12:50:20 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,4,4,4,1,2,0,0,0,0,0,5,1,4,4,4,3,Techniques de peinture lors de la renaissance,Je ne me souvenais pas qu'il y avait de l'art contemporain dans ce musée,Rien,Painting techniques during the Renaissance,I didn't remember there being any contemporary art in the museum.,Nothing,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0
2019/03/04 11:23:27 AM UTC+2,201903041010,55,woman,"Nancy, France",french,Native/bilingual,PhD,1,4,3,5,5,Yes,6,Several years ago,group,unlimited,Normal vision,3,3,3,5,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,2019/03/04 12:50:49 PM UTC+2,Art lover,No involvement,A few times a year,No,Yes,No,5,5,1,1,1,5,5,5,5,5,4,1,1,1,2,4,Friant - toujours pour son réalisme,Les regards de certains personnages - ou le manque de regard ou de lumière justement suivant les époques,"Problèmes au 2ème étage sur certains tableaux: mauvaise luminosité ou restauration avec trop de vernis, ou ?",Friant - always for his realism,"The looks of certain characters - or the lack of look or light, depending on the period","Problems on the 2nd floor with some paintings: poor lighting or restoration with too much varnish, or ?",0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0
2019/03/04 5:16:31 PM UTC+2,201903041600,24,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,2,2,5,No,0,Never,alone,unlimited,Normal vision,1,1,3,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2019/03/04 6:25:58 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,5,4,4,1,1,0,0,0,0,0,2,2,4,1,2,4,J'ai découvert différentes techniques de peinture que je n'avais pas forcément vues avant (par ex. : sable sur toile ou gravure/peinture sur du verre). J'ai également découvert de nouveaux artistes. Je ne me rappelle en revanche pas forcément des noms.,Rien,C'était intéressant.,I discovered different painting techniques that I hadn't necessarily seen before (e.g. sand on canvas or etching/painting on glass). I also discovered new artists. But I don't necessarily remember their names.,Nothing,It was interesting.,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.0
2019/03/06 11:18:46 AM UTC+2,201903061010,20,woman,"Nancy, France",french,Native/bilingual,A levels,1,4,2,2,4,Yes,1,Several months ago,alone,unlimited,Normal vision,3,2,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2019/03/06 12:42:27 PM UTC+2,Art lover,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,4,4,3,1,3,0,0,0,0,0,1,1,1,3,2,4,"Beaucoup d'artistes sont passés au Caravanage, beaucoup d’œuvre centré sur la Bible",Un très grand tableau avec quelqu'un à cheval dessus,"Mauvaise gestion de la lumière, difficile de voir certains tableaux","Many artists have visited Caravanage, and many of their works are centered on the Bible.",A very large painting with someone riding a horse on it,"Bad light management, difficult to see some paintings",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0.0
2019/03/06 3:11:38 PM UTC+2,201903061410,45,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,3,5,Yes,10,Several months ago,group,unlimited,Normal vision,1,1,4,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2019/03/06 4:49:46 PM UTC+2,Art lover,No involvement,A few times a year,No,No,No,5,5,1,1,4,3,5,4,5,3,1,1,1,1,1,5,"j'ai découvert la collaboration de Prouvé avec Charlotte Perriand, ainsi que la maison de Prouvé pouvait être visitée.",Surprise qu'il y ait un Picasso à Nancy,Rien,"I discovered Prouvé's collaboration with Charlotte Perriand, and that Prouvé's house could be visited.",Surprised there's a Picasso in Nancy,Nothing,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0.0
