behavior_type,n_trajectories,n_points,avg_x,avg_y,std_x,std_y,x_range,y_range,quadrant_SW_pct,quadrant_SE_pct,quadrant_NW_pct,quadrant_NE_pct
Активный обходчик,7,4981,4482.632754752249,1670.1816446516661,1520.0665225849668,1060.2081984926256,6711.5513999427,4893.732926217865,18.048584621561936,37.78357759486047,27.805661513752263,16.362176269825337
Быстрый,13,5598,4359.337716116254,1828.097076612388,1706.8957053407084,1095.6274181525127,6686.955366723582,4938.679723655785,17.16684530189353,27.527688460164345,35.637727759914256,19.667738478027864
Исследователь,14,8346,4415.639265956742,1658.1779519063894,1624.1759296763018,1068.0128758458231,6713.142248759416,5010.065678486803,16.618739515935776,39.24035466091541,31.320393002635992,12.82051282051282
Медленный,11,8903,4254.938844575022,1821.9481693198907,1738.2551811866008,934.6192661059886,6726.648323615247,4916.523885653779,13.703246096821294,30.8772323935752,38.784679321576995,16.634842188026507
