behavior_type,n_trajectories,duration,speed,nb_items,nb_stops,length,distwall,curvature,avg_observation_time,stop_intensity,item_density,item_time_density,normalized_curvature,path_efficiency,avg_time_between_stops,observation_time_ratio
Активный обходчик,7,3349.4285714285716,32.015828443240295,188.14285714285714,51.0,105241.10824154413,181.33115449074688,0.027716543231097412,12.947048413606629,0.9114016562380965,1.8212367069260036,3.5192562163489716,2.9707958601254694,31.98341807245351,65.54044871051408,0.7254472473207828
Быстрый,13,2497.3846153846152,31.385442791625245,106.38461538461539,39.30769230769231,77908.68648160009,193.12448497770913,0.06957019235546938,10.243419954601999,0.9524387180744978,1.3943922918541136,2.607091710700197,6.077048403798158,31.318222900022604,63.95484171484183,0.4317697335619689
Исследователь,14,3946.4285714285716,22.613142259128924,192.64285714285714,73.0,87571.75485382449,195.16605188009132,0.06449137435770787,12.215836557265392,1.1162805534000957,2.1941683718901315,2.978877756998075,5.756446467702505,22.563660534569685,53.242833847980584,0.5684399078235735
Медленный,11,4061.6363636363635,18.84061155320393,110.18181818181819,61.09090909090909,74373.73066479534,165.88246756522383,0.06727768142174619,17.837962306125675,0.9048063149701107,1.5072768015199414,1.6791072833135865,5.173260675116308,18.7935867100048,65.74574672552052,0.42716229651876425
