timestamp,floorNumber,paintingId
60.360364,0,0_5830
93.260655,2,2_2789
125.15079,2,2_2852
130.029116,2,2_2854
145.151723,2,2_2852
155.023925,2,2_0527
185.289888,2,2_2797
190.12699,2,2_2799
202.097639,2,2_2801
215.185036,2,2_2809
232.514821,2,2_2803
241.121629,2,2_2812
270.113289,2,2_2814
285.082578,2,2_2816
315.148688,2,2_2863
320.142389,2,2_2864
350.077227,2,2_2863
375.155577,2,2_2860
375.810203,2,2_2859
398.672473,2,2_2840
405.050865,2,2_2838
414.477389,2,2_2822
414.959981,2,2_2818
425.208103,2,2_2824
442.812339,2,2_2827
465.481174,2,2_2829
507.856003,2,2_2831
535.097295,2,2_2867
568.927924,2,2_2890
582.272292,2,2_2888
620.027293,2,2_0467
635.045244,2,2_0459
654.014208,2,2_2878
685.069131,2,2_2900
695.984429,2,2_2902
705.080975,2,2_2900
745.068661,2,2_2904
804.251604,2,2_0422
860.510221,2,2_0417
928.639454,2,2_2917
990.102193,2,2_2936
1007.955122,2,2_2934
1042.001948,2,2_2932
1060.241215,2,2_2930
1100.197369,2,2_2926
1135.017087,2,2_2787
1165.153133,1,1_0387
1167.746647,1,1_0385
1175.906146,1,1_5845
1197.159204,1,1_0395
1210.172869,1,1_0391
1220.012184,1,1_0393
1232.072796,1,1_0389
1277.507081,1,1_5846
1310.088713,1,1_0379
1315.092003,1,1_0368
1325.175618,1,1_0373
1345.09091,1,1_0377
1347.268495,1,1_0370
1366.011991,1,1_0379
1450.151145,1,1_0335
1465.474251,1,1_0333
1472.359479,1,1_0335
1490.525808,1,1_0360
1515.039803,1,1_0358
1530.014347,1,1_0345
1577.066141,1,1_0341
1590.251151,1,1_0337
1601.351742,1,1_0307
1634.52233,1,1_0309
1647.344293,1,1_0313
1660.136055,1,1_5850
1665.080451,1,1_0311
1730.821314,1,1_0322
1750.003009,1,1_0320
1755.038435,1,1_0322
1757.587849,1,1_0324
1780.000005,1,1_0328
1805.101289,1,1_0303
1825.185394,1,1_0276
1842.358576,1,1_5872
1865.127597,1,1_5870
1870.113293,1,1_0268
1875.18252,1,1_0266
1892.042427,1,1_0270
2062.891121,1,1_0235
2131.267389,1,1_0230
2221.927763,1,1_0187
2291.250215,1,1_0174
2330.117227,1,1_5880
2330.658182,1,1_0101
2365.044981,1,1_0088
2380.834517,1,1_0086
2390.162811,1,1_0093
2397.932237,1,1_0095
2405.128092,1,1_0103
2415.814563,1,1_0095
2420.237229,1,1_0097
2430.075523,1,1_5884
2450.516527,1,1_5882
2467.499123,1,1_0082
2472.731382,1,1_0084
2525.017187,1,1_0118
2635.227476,1,1_0080
2643.823663,1,1_0150
2655.253202,1,1_0158
2655.414085,1,1_5905
2713.314661,1,1_5896
2751.392638,1,1_0111
2755.188672,1,1_6000
2762.072207,1,1_0141
2795.113805,1,1_5901
2815.202998,1,1_0053
2823.080881,1,1_5899
2861.14047,1,1_0124
2874.221244,1,1_0062
2912.171379,1,1_0074
2915.727811,1,1_5907
2949.588179,1,1_5894
3005.615158,1,1_0078
3027.626541,1,1_5917
3040.02032,1,1_5915
3070.228011,1,1_5909
3077.772817,1,1_5779
3133.020973,1,1_5777
3250.889807,1,1_5787
3255.013724,1,1_5785
3260.2274,1,1_5781
3435.613334,1,1_0976
3442.416326,1,1_0978
3456.41009,1,1_0981
3460.233218,1,1_0987
3482.74733,1,1_0985
3492.082532,1,1_0983
3590.131194,0,0_0969
3602.650972,0,0_0967
3631.062125,0,0_0353
3635.24607,0,0_0960
3660.156548,0,0_0353
3674.050539,0,0_0969
3685.097968,0,0_0347
3700.274706,0,0_0962
3730.739207,0,0_0843
3744.61392,0,0_0869
3790.241083,0,0_0861
3805.195101,0,0_0865
3950.005835,0,0_0950
3967.981384,0,0_0908
3975.146009,0,0_0906
3980.037111,0,0_0900
3980.941526,0,0_0918
3985.910432,0,0_0920
3987.606193,0,0_0922
3990.247436,0,0_0924
3992.719373,0,0_0302
3997.604863,0,0_0301
4002.808871,0,0_0930
4030.10822,0,0_0890
4061.088381,0,0_0887
4075.056785,0,0_0885
4080.044268,0,0_0883
4081.793545,0,0_0881
4085.225491,0,0_0879
4110.118716,0,0_0439
4140.13937,0,0_0853
4145.10127,0,0_0855
4170.009773,0,0_0765
4177.097809,0,0_0757
4189.275401,0,0_0894
4255.003761,0,0_0739
4260.601946,0,0_0731
4275.062058,0,0_0375
4285.060148,0,0_0729
4296.615708,0,0_0696
4315.045901,0,0_0720
4320.088878,0,0_0689
4325.219981,0,0_0718
4340.456082,0,0_0826
4373.248365,0,0_0824
4375.816047,0,0_0815
4384.087208,0,0_0821
4386.091278,0,0_0819
4390.2009,0,0_0824
4395.686636,0,0_0334
4405.15618,0,0_0337
4412.080678,0,0_0809
4429.491943,0,0_0789
4440.196459,0,0_0787
4442.055564,0,0_0785
4447.176408,0,0_0783
4457.11813,0,0_0779
4460.774086,0,0_0781
4467.936224,0,0_0772
4475.932805,0,0_0668
4491.916198,0,0_0678
4807.763944,0,0_0570
