trajectory_id,duration,speed,nb_items,nb_stops,length,distwall,curvature,avg_observation_time
201902181020,3704.0,17.244834308869148,116.0,56,63729.78957966487,186.9480682976089,0.0387827998289052,11.438786285714285
201902181200,2948.0,32.33411159824665,95.0,42,95257.54412785216,167.64951226778817,0.1749055236637031,16.366055653846153
201902181210,2948.0,32.79373720971958,96.0,39,96566.81895780108,171.2666852720773,0.1445223443731352,16.362285629629625
201902181410,3696.0,24.98819984089513,237.0,79,92159.27819107928,166.74566364087696,0.0298003360989065,9.13915685074627
201902181600,4836.0,18.14853408873108,196.0,92,87735.32479363261,209.25232520871572,0.1118750200912407,10.032274465116231
201902181610,1026.0,61.32404419016667,51.0,6,62672.58991812715,162.55242036635985,0.0109033845267428,6.556555099999999
201902201020,674.0,37.91136387000431,9.0,11,25413.725523225214,157.1591888123026,0.3881174985177794,26.06397175
201902201210,2942.0,34.20752638991848,189.0,50,100696.86340253722,210.50493509833743,0.0264327659932859,9.919159024999994
201902201400,4594.0,19.690566404199487,187.0,79,90188.7237463006,177.87362560536272,0.2696652686593996,18.15668323529413
201902201410,4530.0,25.929521497964387,201.0,73,117468.83766066958,179.87984872203717,0.0408750923687004,50.70715169491527
201902201600,2662.0,35.58923845797393,164.0,38,94571.11440846548,160.46273808569958,0.0198136175775403,13.593557314814815
201902201610,2632.0,33.0320308427837,196.0,33,86894.12683203378,167.0322792204622,0.0241111873092423,9.869145079999987
201902211210,3992.0,26.614098841603337,271.0,74,105978.69586781888,158.7641260774725,0.0296897472440679,17.31547883516485
201902211400,3086.0,25.623708334962167,211.0,61,78996.64467276337,190.22298481146623,0.0326418643015968,12.645295539682564
201902211600,1550.0,33.39456111783569,76.0,22,51768.378348156446,226.64502482821592,0.0740232364891776,9.307678875000002
201902211610,1560.0,32.95252353821152,61.0,25,51230.06318333809,222.63775427448175,0.0267649227165762,9.777832076923083
201902211700,2442.0,31.077762845205942,117.0,33,75687.19831001882,189.0561956161632,0.0266743422759554,9.095961333333348
201902211710,2444.0,34.520007493071326,102.0,36,84252.69885470674,188.44186349341936,0.0387314876227558,6.628446583333324
201902221020,4686.0,16.733707464784157,112.0,57,78392.78867121338,182.797976948808,0.0818763669871237,20.71488548648647
201902221200,3392.0,21.62541733376934,143.0,63,73122.57164734762,186.92163028201156,0.0538143118044021,11.2015367142857
201902221210,3466.0,23.843497469478837,131.0,61,82353.48125876008,191.65043234374068,0.0629709646028121,12.406444578947378
201902221400,5096.0,26.73454193965413,171.0,78,136122.00804394702,166.71957072434003,0.0381155349362761,20.34034124691358
201902221410,4428.0,15.147104419728445,179.0,71,66855.04938546343,224.15000208664927,0.5777339912400187,7.1082546999999945
201902221600,3384.0,29.13160344603115,195.0,48,98426.04788780984,202.8169713266635,0.0425004983279891,13.439834684210522
201902221610,3148.0,26.8221749015935,179.0,64,84280.41480644875,194.256765692108,0.0167568132505327,13.028902571428565
201902231200,3398.0,25.869496920887723,194.0,59,87636.28664874024,180.3453370447633,0.0264895861088718,11.597144761904747
201902251200,4064.0,18.58729753769681,169.0,77,75222.05251141643,227.73592982079649,0.035447734566602,5.621793199999956
201903011010,4580.0,19.862313524904625,114.0,74,90880.19806126835,180.5065035051458,0.0567365501797509,20.780987064516115
201903011020,4584.0,21.403963448201715,108.0,72,97817.52682219296,171.3858418692158,0.0738526246541251,19.867372580645164
201903011600,3482.0,21.454346397508846,156.0,66,74517.48859430538,170.05798414279985,0.0367038903562905,11.231912576923078
201903021410,4808.0,12.328076609777812,116.0,65,58890.24689574553,196.8244057047964,0.053689805938329,9.739853999999468
201903021610,5590.0,18.48911754106158,237.0,94,103351.0351617177,219.47865275775268,0.1036084402766351,14.134790722222128
201903041020,4280.0,24.54209663515486,193.0,74,104727.23350154738,216.6872077992745,0.0531508849641764,10.984130749999906
201903041600,3142.0,32.333189356833685,178.0,60,101341.34516937046,173.10278488938678,0.0180935585212064,9.26994569014085
201903061400,3736.0,19.5629126163678,122.0,63,72930.30792424353,152.05307453623115,0.0289581155454654,12.302607012345685
201903061410,4920.0,18.881831956493105,131.0,71,92677.44310265976,146.0251570075289,0.1610731775921327,17.287109187499997
201903061610,4226.0,20.285439380262204,193.0,79,85735.3365516643,242.3320610941378,0.040264378682376,13.526166999999987
201903081400,2062.0,30.17539128300728,105.0,41,61967.19118091839,207.6205176751189,0.0259162499941545,9.388503657894734
201903081410,2062.0,30.496374561185004,116.0,36,62625.16772734961,206.22048175401167,0.0247699432183223,10.100580749999983
201903081610,2186.0,29.5571830589672,97.0,31,64469.325521365216,158.60666239621892,0.0389472134794673,31.37314436734693
