variable,quartile,n,speed_mean,duration_mean,nb_stops_mean,nb_items_mean,length_mean,stop_intensity_mean
distwall,Q1,13,27.767987875615457,3203.6923076923076,50.07692307692308,129.15384615384616,77319.77391424734,0.9006198535975317
distwall,Q2,13,27.00754967127261,3524.4615384615386,57.23076923076923,142.07692307692307,92398.43615969039,0.9715043565959499
distwall,Q3,12,24.42507467399774,3544.3333333333335,54.083333333333336,137.5,82147.53912956962,0.922520740122684
distwall,Q4,13,25.870974538492256,3337.230769230769,58.0,156.0,78778.03028916809,1.0352106480615908
zone_area_mean,Q1,13,27.182553835830426,3427.076923076923,53.46153846153846,165.07692307692307,89262.40577597302,0.9273607338734002
zone_area_mean,Q2,13,25.964740728565484,3476.769230769231,55.61538461538461,130.46153846153845,79474.94291198843,0.9369917627379879
zone_area_mean,Q3,12,28.337671483509528,3254.3333333333335,55.25,149.25,87266.09277930194,1.0023933004226753
zone_area_mean,Q4,13,23.88758969681968,3429.230769230769,55.15384615384615,120.84615384615384,75034.07292154533,0.9692538444436924
passage_width_mean,Q1,13,26.403809329512914,3441.076923076923,58.0,156.84615384615384,85619.92780725875,1.0193954934925742
passage_width_mean,Q2,13,25.494712195341265,3496.4615384615386,55.38461538461539,141.3846153846154,84713.7796567331,0.9365817374917292
passage_width_mean,Q3,12,24.65843298903526,3355.1666666666665,58.333333333333336,140.08333333333334,76447.4831809957,1.0441530955412728
passage_width_mean,Q4,13,28.5325828851069,3302.4615384615386,48.0,126.61538461538461,83424.12300548995,0.8390816068843793
