trajectory_id,distwall,zone_area_mean,zone_area_min,zone_area_max,pct_small_zone,pct_large_zone,passage_width_mean,n_points,duration,speed,nb_items,nb_stops,length,curvature,avg_observation_time,stop_intensity,dist_window_mean,dist_window_min,pct_near_window
201902181020,186.9480682976089,1198047.3060621133,323760.68074737914,3300738.02835025,0.3258706467661691,0.2587064676616915,3.1578611228378417,402,3704.0,17.244834308869148,116.0,56,63729.78957966487,0.0387827998289052,11.438786285714285,0.9071274297909212,2426.691940064099,4.6044533582262375,0.05970149253731343
201902181200,167.64951226778817,1677845.4319034752,282555.01348953205,3300738.02835025,0.1123417721518987,0.555379746835443,3.4438660208133176,632,2948.0,32.33411159824665,95.0,42,95257.54412785216,0.1749055236637031,16.366055653846153,0.8548168249486808,1921.42000716509,270.9462754049272,0.0
201902181210,171.2666852720773,1667628.3036753957,282555.01348953205,3300738.02835025,0.1125198098256735,0.5404120443740095,3.5110856956165137,631,2948.0,32.79373720971958,96.0,39,96566.81895780108,0.1445223443731352,16.362285629629625,0.7937584803094894,1925.5924881301457,296.9091810668957,0.0
201902181410,166.74566364087696,1323993.2244573869,282555.01348953205,3300738.02835025,0.286634460547504,0.3526570048309179,3.1361292864495742,621,3696.0,24.98819984089513,237.0,79,92159.27819107928,0.0298003360989065,9.13915685074627,1.2824675324467132,2138.451937577806,2.1568242414246015,0.0853462157809984
201902181600,209.2523252087157,1505832.2211173165,282555.01348953205,3300738.02835025,0.1493411420204978,0.452415812591508,3.35456957931008,683,4836.0,18.14853408873108,196.0,92,87735.32479363261,0.1118750200912407,10.032274465116233,1.141439205941173,2160.893111694342,255.82653545450836,0.0
201902181610,162.55242036635985,1356463.1125961735,282555.01348953205,3300738.02835025,0.2890625,0.40625,3.4499937357152834,128,1026.0,61.32404419016667,51.0,6,62672.58991812715,0.0109033845267428,6.556555099999999,0.350877192961937,2038.2035734258584,576.5762176445195,0.0
201902201020,157.1591888123026,1776437.40094155,282555.01348953205,3300738.02835025,0.0917159763313609,0.5976331360946746,3.1622127718356428,338,674.0,37.91136387000431,9.0,11,25413.725523225214,0.3881174985177794,26.06397175,0.9792284865597126,1394.1162198065456,0.6034547452313745,0.23964497041420119
201902201210,210.50493509833743,1556712.0807524298,282555.01348953205,3300738.02835025,0.1617357001972386,0.4911242603550296,3.613879150071068,507,2942.0,34.20752638991848,189.0,50,100696.86340253722,0.0264327659932859,9.919159024999994,1.019714479924819,1937.7294205562018,15.557739387720176,0.029585798816568046
201902201400,177.87362560536272,1343023.925833003,282555.01348953205,3300738.02835025,0.1922753988245172,0.4214945424013434,2.9919842067738838,1191,4594.0,19.690566404199487,187.0,79,90188.7237463006,0.2696652686593996,18.15668323529413,1.0317805833561369,2016.576110040174,104.98078382025734,0.06968933669185558
201902201410,179.87984872203717,1376159.4276226696,282555.01348953205,3300738.02835025,0.0950782997762863,0.2885906040268456,2.9093588100937557,894,4530.0,25.929521497964387,201.0,73,117468.83766066958,0.0408750923687004,50.70715169491527,0.9668874172057366,2316.319236187489,228.72398375178634,0.0145413870246085
201902201600,160.46273808569958,1140324.6794323549,282555.01348953205,3300738.02835025,0.2198952879581152,0.2582897033158813,2.724295532846301,573,2662.0,35.58923845797393,164.0,38,94571.11440846548,0.0198136175775403,13.593557314814817,0.8564988730084937,2339.1814986774043,376.99633562875863,0.0
201902201610,167.0322792204622,1280002.8864092173,282555.01348953205,3300738.02835025,0.1478439425051334,0.2607802874743326,2.9961461873978217,487,2632.0,33.0320308427837,196.0,33,86894.12683203378,0.0241111873092423,9.869145079999988,0.7522796352412094,2561.1052892884227,494.423666201103,0.0
201902211210,158.7641260774725,1418780.7738370886,282555.01348953205,3300738.02835025,0.2235897435897436,0.518974358974359,2.86414911015264,975,3992.0,26.614098841603337,271.0,74,105978.69586781888,0.0296897472440679,17.31547883516485,1.1122244488810789,2018.145744617147,178.19615583888464,0.0071794871794871795
201902211400,190.22298481146623,1300786.2909142154,282555.01348953205,3300738.02835025,0.1868327402135231,0.3451957295373665,2.748119266334668,562,3086.0,25.623708334962167,211.0,61,78996.64467276337,0.0326418643015968,12.645295539682564,1.1860012961532211,2266.791738523743,24.822326238691403,0.03202846975088968
201902211600,226.64502482821592,1479010.4591191332,282555.01348953205,3300738.02835025,0.1714285714285714,0.5714285714285714,3.096885611708599,280,1550.0,33.39456111783569,76.0,22,51768.378348156446,0.0740232364891776,9.307678875000002,0.8516129031928408,1630.6738781659294,25.07518877560551,0.06428571428571428
