trajectory_id,dist_window_mean,dist_window_min,pct_near_window,n_points
201902181020,2426.691940064099,4.6044533582262375,0.05970149253731343,402
201902181200,1921.42000716509,270.9462754049272,0.0,632
201902181210,1925.5924881301457,296.9091810668957,0.0,631
201902181410,2138.451937577806,2.1568242414246015,0.0853462157809984,621
201902181600,2160.893111694342,255.82653545450836,0.0,683
201902181610,2038.2035734258584,576.5762176445195,0.0,128
201902201020,1394.1162198065456,0.6034547452313745,0.23964497041420119,338
201902201210,1937.7294205562018,15.557739387720176,0.029585798816568046,507
201902201400,2016.576110040174,104.98078382025734,0.06968933669185558,1191
201902201410,2316.319236187489,228.72398375178634,0.0145413870246085,894
201902201600,2339.1814986774043,376.99633562875863,0.0,573
201902201610,2561.1052892884227,494.423666201103,0.0,487
201902211210,2018.145744617147,178.19615583888464,0.0071794871794871795,975
201902211400,2266.791738523743,24.822326238691403,0.03202846975088968,562
201902211600,1630.6738781659294,25.07518877560551,0.06428571428571428,280
201902211610,1696.3857095816725,6.779537928628088,0.03985507246376811,276
201902211700,1606.568055179605,18.59553322126726,0.04294478527607362,326
201902211710,1600.5023978294644,8.931163484969147,0.06441717791411043,326
201902221020,2059.9690365889737,2.3732565386635542,0.02702702702702703,740
201902221200,2497.3447879957,552.877834185358,0.0,420
201902221210,2311.7689866413643,615.3034993657906,0.0,436
201902221400,1903.527343052582,8.901876182500928,0.04269513008672448,1499
201902221410,2647.2513751900515,196.36238969182807,0.004524886877828055,442
201902221600,1975.8448391314957,246.21116524062668,0.004132231404958678,484
201902221610,2026.5897764208696,140.65054003911817,0.021798365122615803,367
201902231200,1870.182861840806,3.6150131219077535,0.07981220657276995,852
201902251200,1658.31668943488,225.69661420998685,0.05113636363636364,176
201903011010,2041.7571215895332,10.087022626086002,0.016546018614270942,967
201903011020,2028.5816864784506,5.4396531932179,0.027806385169927908,971
201903011600,1714.040634110525,12.774261926112402,0.10695187165775401,935
201903021410,1323.8810812265078,495.99059532733787,0.0,80
201903021610,2428.0496731660114,22.50437112360987,0.05222734254992319,651
201903041020,1666.9838166981415,7.976894515378429,0.07512953367875648,386
201903041600,1751.9188018551595,1.933914944430171,0.125,824
201903061400,2030.9063108979778,211.32608167415617,0.012100259291270527,1157
201903061410,1679.7003745299658,169.58062058787735,0.007778738115816767,1157
201903061610,656.247757679999,178.27729074015397,0.06593406593406594,91
201903081400,1786.9330949847918,1.0508646886005408,0.029535864978902954,474
201903081410,1764.4524703948953,7.623046423600272,0.05708245243128964,473
201903081610,2373.5211299501166,57.098780249508316,0.01592356687898089,628
201903091010,1813.203621088519,9.130271642188639,0.06079295154185022,1135
201903091200,2404.5726620394103,510.3889797259619,0.0,277
201903091210,2049.1476839234624,592.8569673788127,0.0,279
201903091410,1904.3530918675403,15.505916617645878,0.07317073170731707,820
201903091600,994.438911576496,4.446752035285954,0.13732394366197184,284
201903111400,2504.310983033905,578.9495645591295,0.0,607
201903181610,2294.969313512472,586.4530359077279,0.0,326
201903201010,1751.4884583143694,0.1349687495089711,0.07272727272727272,990
201903201020,1687.486821115372,1.7117331514016187,0.08678102926337034,991
201903211400,2975.267223294372,4.790410560694906,0.03254437869822485,1014
201903211410,2889.160754351318,5.148004002475545,0.05268595041322314,968
