timestamp,floorNumber,paintingId
50.742565,0,0_0570
193.918309,0,0_0678
204.157381,0,0_0680
269.351204,0,0_0772
280.033405,0,0_0779
310.051344,0,0_0783
355.902413,0,0_0334
382.733247,0,0_0815
395.23065,0,0_0829
456.73013,0,0_0731
501.992243,0,0_0894
535.174152,0,0_0890
555.170552,0,0_0879
586.528832,0,0_0859
596.726966,0,0_0861
627.494089,0,0_0869
637.3043799999999,0,0_0843
645.36629,0,0_0841
670.242372,0,0_0962
700.490426,0,0_0347
715.730409,0,0_0353
721.792895,0,0_0356
733.525991,0,0_0969
870.210308,0,0_0865
890.711425,0,0_0918
972.803935,1,1_0976
983.704749,1,1_0978
995.138163,1,1_0981
1005.1271019999999,1,1_0985
1016.66524,1,1_0987
1071.822003,1,1_0014
1125.169841,1,1_5775
1250.010808,1,1_5915
1285.660363,1,1_0078
1309.606813,1,1_0058
1374.803121,1,1_5928
1430.190008,1,1_0060
1435.164066,1,1_0062
1465.0049880000001,1,1_5894
1466.853486,1,1_5907
1495.340715,1,1_0074
1515.89964,1,1_0141
1530.195572,1,1_5896
1566.484748,1,1_0139
1575.232498,1,1_0148
1611.952804,1,1_0082
1670.337717,1,1_0178
1685.219882,1,1_0187
1726.523932,1,1_0191
1781.776022,1,1_0228
1808.999054,1,1_0230
1815.066621,1,1_0235
1828.367558,1,1_0241
1865.091911,1,1_0266
1900.208917,1,1_5872
2006.793078,1,1_0379
2020.172681,1,1_0368
2027.7710020000002,1,1_0385
2059.9109160000003,1,1_5845
2071.759398,1,1_5846
2081.96461,1,1_0365
2110.07564,1,1_0379
2513.203385,2,2_2917
2518.613592,2,2_2904
2525.602622,2,2_0417
2550.241911,2,2_2928
