timestamp,floorNumber,paintingId
87.061713,2,2_2924
155.85659900000002,2,2_2922
165.44504,2,2_2926
169.94069000000002,2,2_2928
171.25121000000001,2,2_2930
197.874269,2,2_2932
205.12495,2,2_2934
247.255055,2,2_2936
322.263289,2,2_2913
388.358332,2,2_0417
405.057237,2,2_2904
422.692527,2,2_0422
445.020392,2,2_2904
460.049028,2,2_2902
537.506436,2,2_2900
557.187531,2,2_2917
605.000321,2,2_2915
657.298404,2,2_2917
687.795513,2,2_2880
800.052224,2,2_2878
845.161327,2,2_2875
890.005555,2,2_2873
930.800892,2,2_2871
950.071553,2,2_2869
1022.177004,2,2_2888
1029.040189,2,2_0464
1035.14693,2,2_0467
1048.583744,2,2_0459
1085.129679,2,2_2890
1113.236054,2,2_2867
1125.483722,2,2_2836
1130.943794,2,2_2831
1134.063376,2,2_2829
1137.353163,2,2_2827
1241.078131,2,2_2836
1350.439943,2,2_2824
1366.90286,2,2_2822
1418.459349,2,2_2816
1455.6028370000001,2,2_2863
1462.468814,2,2_2864
1467.497509,2,2_2812
1480.098778,2,2_2864
1487.62716,2,2_2859
1492.257809,2,2_2864
1500.128866,2,2_2859
1515.0447120000001,2,2_2860
1526.15941,2,2_2859
1535.12676,2,2_2860
1570.001747,2,2_2838
1743.536445,2,2_2840
1747.79095,2,2_2842
1755.7826570000002,2,2_2846
1761.75625,2,2_2848
1777.4766670000001,2,2_2850
1790.206293,2,2_2852
1797.867717,2,2_0527
1852.632345,2,2_2801
1861.630296,2,2_2850
1885.157169,2,2_2848
1945.643533,2,2_0527
2039.267603,1,1_0387
2080.009476,1,1_0389
2105.047117,1,1_0391
2117.590782,1,1_0395
2139.950165,1,1_5845
2170.412577,1,1_5846
2189.937043,1,1_0379
2194.948891,1,1_0368
2200.236968,1,1_0373
2204.907134,1,1_0377
2245.053519,1,1_0375
2254.987038,1,1_0377
2268.720657,1,1_0370
2275.745985,1,1_5848
2314.893229,1,1_0368
2345.211869,1,1_0365
2359.386755,1,1_0379
2365.612789,1,1_0363
2417.409213,1,1_0360
2445.497928,1,1_0358
2485.159809,1,1_0345
2506.567247,1,1_0356
2543.279373,1,1_0352
2616.199115,1,1_0341
2651.988001,1,1_0305
2680.084365,1,1_0303
2685.066506,1,1_0301
2722.8870580000003,1,1_0328
2749.201413,1,1_0326
2750.178409,1,1_0322
2787.295016,1,1_0324
2806.174053,1,1_0320
2825.05183,1,1_0311
2829.925221,1,1_0313
2835.526258,1,1_5850
2874.902801,1,1_0309
2878.558469,1,1_0307
2900.150783,1,1_0274
2912.7813,1,1_5872
2930.59369,1,1_5870
2945.50183,1,1_5868
2953.680551,1,1_0268
2960.0750430000003,1,1_0276
2997.164105,1,1_5872
3027.254543,1,1_0276
3053.706355,1,1_0280
3110.253588,1,1_0270
3145.951838,1,1_0272
3155.213824,1,1_0266
3280.200285,1,1_0218
3282.618602,1,1_0220
3300.007631,1,1_0222
3320.096453,1,1_6003
3355.003318,1,1_0228
3470.62073,1,1_0235
3494.945917,1,1_0239
3535.957221,1,1_0241
3565.133054,1,1_0253
3587.497114,1,1_5866
3603.421837,1,1_0187
3625.729987,1,1_0191
3722.31772,1,1_0187
3748.687861,1,1_0183
3908.081366,1,1_0199
3910.060294,1,1_0197
3998.032573,1,1_5886
4015.145075,1,1_0148
4027.545116,1,1_0152
4059.747774,1,1_5896
4083.862576,1,1_0141
4096.531368,1,1_6000
4102.630108,1,1_5892
4135.824694,1,1_5894
4140.20325,1,1_5907
4160.939144,1,1_0060
4177.115253,1,1_0062
4185.486222,1,1_0124
4241.999162,1,1_0193
4255.143118,1,1_0210
4265.087191,1,1_0212
4271.940802,1,1_0206
4277.394846,1,1_0208
4305.012377,1,1_5876
4312.262702,1,1_5874
4333.959552,0,0_2100
4351.466912999999,0,0_5834
4355.706606,0,0_5838
4370.153978,0,0_5832
4447.367438,0,0_0670
4460.234307,0,0_0673
4475.98513,0,0_0689
4480.001047,0,0_0692
4513.915728,0,0_0694
4525.108073,0,0_0696
4530.186084,0,0_0699
4535.065948,0,0_0701
4539.943856999999,0,0_0705
4548.847432,0,0_0707
4570.392719,0,0_0709
4605.357309999999,0,0_0739
4647.724387,0,0_0755
4695.052634,0,0_0826
4705.740801,0,0_0772
4725.140403,0,0_0781
4731.992625,0,0_0813
4740.343242,0,0_0815
4748.250953,0,0_0821
4761.533348,0,0_0824
4766.398778999999,0,0_0831
4770.433699,0,0_0841
4840.909679,0,0_0890
4862.971929,0,0_0887
4865.075608,0,0_0885
4875.141866,0,0_0890
4930.495987,0,0_0879
5027.934736,0,0_0890
5062.464447,0,0_0853
5079.694386,0,0_0855
5084.786012,0,0_0848
5090.105146,0,0_0847
5107.564603,0,0_0845
5126.917232999999,0,0_0869
5137.033744,0,0_0843
5182.119818,0,0_0869
5206.258911,0,0_0859
5223.317848,0,0_0303
5227.783168,0,0_0920
5249.817331,0,0_0861
5290.636917999999,0,0_0958
5294.905049,0,0_0960
5300.885214,0,0_0353
5309.9087469999995,0,0_0356
5321.785248,0,0_0967
5335.19293,0,0_0969
5380.256491,0,0_0353
5405.760226,0,0_0969
5476.412709,0,0_0859
5520.51621,0,0_0301
