timestamp,x,y,floorNumber
0.0,2631.4591201139656,4784.274461002366,0
2.0,2614.1275046428245,4732.253744348088,0
4.0,2598.9347137107984,4612.536046016554,0
6.0,2604.5166427918944,4517.280267062627,0
8.0,2604.6331590296563,4455.858172602738,0
10.0,2604.6331590296563,4354.262346289089,0
12.0,2597.218233306476,4243.597844505057,0
14.0,2575.3940303520694,4192.649367268893,0
16.0,2511.3053513431037,4119.756783934369,0
18.0,2440.606781391763,4003.1855481166954,0
20.0,2388.047444585904,3858.8744091688327,0
22.0,2358.8386557225017,3695.5968336918895,0
24.0,2319.0962483625176,3511.1534428655445,0
26.0,2300.5155899238734,3353.7304621705603,0
28.0,2293.693642150787,3278.2142993976213,0
30.0,2286.75852266153,3250.4600190564033,0
32.0,2279.8234031722736,3222.7057387151854,0
34.0,2272.8882836830167,3194.9514583739674,0
36.0,2267.151919911358,3152.5743988200156,0
38.0,2262.694392588834,3094.5977114433535,0
40.0,2268.267449526056,3008.376332176733,0
42.0,2271.60013532809,2962.946432266019,0
44.0,2274.394573806635,2926.600657054439,0
46.0,2265.182086338477,2862.1691119712805,0
48.0,2255.8956649336355,2751.721365347869,0
50.0,2258.8226488674386,2611.0296778496445,0
52.0,2271.6649279044263,2453.3350954364805,0
54.0,2354.7325973378665,2289.98007299574,0
56.0,2446.6768829438215,2206.6095836049767,0
58.0,2462.732178317886,2200.768389514218,0
60.0,2478.7874736919507,2194.92719542346,0
62.0,2494.842769066015,2189.0860013327015,0
64.0,2510.89806444008,2183.2448072419434,0
66.0,2540.144213481028,2172.604552486407,0
68.0,2578.4817326542848,2158.6567000656464,0
70.0,2665.273395487756,2127.026277946338,0
72.0,2760.9893463299195,2078.776666302237,0
74.0,2914.7241480881107,2023.9448581639951,0
76.0,3051.32486354863,1989.1973032133642,0
78.0,3150.7869287983076,1972.856901176532,0
80.0,3167.360569693162,1971.77526208314,0
82.0,3166.144504412841,1969.646088990947,0
84.0,3164.92843913252,1967.5169158987537,0
86.0,3163.712373852199,1965.3877428065607,0
88.0,3162.4963085718787,1963.2585697143675,0
90.0,3161.280243291558,1961.1293966221745,0
92.0,3160.064178011237,1959.0002235299814,0
94.0,3158.8481127309165,1956.8710504377882,0
96.0,3157.6320474505956,1954.7418773455952,0
98.0,3156.4159821702747,1952.6127042534022,0
100.0,3155.1999168899542,1950.483531161209,0
102.0,3153.9838516096333,1948.354358069016,0
104.0,3152.7677863293125,1946.2251849768227,0
106.0,3151.5517210489916,1944.0960118846297,0
108.0,3150.335655768671,1941.9668387924366,0
110.0,3149.1195904883502,1939.8376657002434,0
112.0,3147.9035252080294,1937.7084926080504,0
114.0,3146.687459927709,1935.5793195158574,0
116.0,3145.471394647388,1933.4501464236641,0
118.0,3144.255329367067,1931.3209733314711,0
120.0,3143.0392640867462,1929.191800239278,0
122.0,3141.823198806426,1927.0626271470849,0
124.0,3080.059897697653,1883.4258412690892,0
126.0,3061.007156825877,1824.3254363008111,0
128.0,3063.3786960406296,1817.80045854635,0
130.0,3065.7502352553824,1811.2754807918889,0
132.0,3068.1217744701353,1804.7505030374275,0
134.0,3070.493313684888,1798.2255252829664,0
136.0,3072.864852899641,1791.7005475285052,0
138.0,3075.2363921143938,1785.175569774044,0
140.0,3077.607931329147,1778.6505920195827,0
142.0,3079.9794705439,1772.1256142651216,0
144.0,3082.3510097586527,1765.6006365106605,0
146.0,3084.7225489734055,1759.0756587561993,0
148.0,3087.0940881881584,1752.5506810017382,0
150.0,3093.100940102711,1747.51031882056,0
152.0,3099.859525550419,1742.7769550745768,0
154.0,3106.6181109981276,1738.0435913285935,0
156.0,3113.376696445836,1733.3102275826102,0
158.0,3120.135281893544,1728.576863836627,0
160.0,3126.893867341252,1723.8435000906434,0
162.0,3133.6524527889605,1719.11013634466,0
164.0,3140.411038236669,1714.3767725986768,0
166.0,3147.1696236843773,1709.6434088526935,0
168.0,3153.9282091320856,1704.9100451067102,0
170.0,3240.4328227262067,1653.2414033979178,0
172.0,3390.543286482171,1642.4831296661498,0
174.0,3432.4560084699447,1634.0964145005767,0
176.0,3516.0028776170016,1618.5857260945693,0
178.0,3555.817264231716,1628.039749684667,0
180.0,3567.113763520385,1628.5831903592466,0
182.0,3571.57532648009,1625.904920662478,0
184.0,3576.036889439795,1623.2266509657093,0
186.0,3580.4984523995,1620.5483812689404,0
188.0,3584.9600153592046,1617.8701115721717,0
190.0,3589.4215783189097,1615.1918418754028,0
192.0,3593.8831412786144,1612.5135721786341,0
194.0,3605.5917770448596,1587.4200870896052,0
196.0,3624.01968023341,1486.034236958922,0
198.0,3622.0481153066617,1351.2036926529074,0
200.0,3642.605366730862,1204.4915146782082,0
202.0,3635.416900767026,1088.516947144477,0
204.0,3649.289223875374,1023.9164267049459,0
206.0,3646.1637181906362,1018.1834819188507,0
208.0,3643.038212505898,1012.4505371327556,0
210.0,3639.91270682116,1006.7175923466605,0
212.0,3636.7872011364225,1000.9846475605653,0
214.0,3633.6616954516844,995.2517027744702,0
216.0,3630.5361897669463,989.518757988375,0
218.0,3627.4106840822083,983.7858132022799,0
220.0,3624.2851783974706,978.0528684161848,0
222.0,3621.1596727127326,972.3199236300896,0
224.0,3618.0341670279945,966.5869788439944,0
226.0,3614.908661343257,960.8540340578993,0
228.0,3611.783155658519,955.1210892718042,0
230.0,3596.420772123524,906.8359762358235,0
232.0,3585.5125379562646,841.4781735559682,0
234.0,3589.4098225918683,786.8890411267901,0
236.0,3602.1296872352423,736.8530948473309,0
238.0,3618.220443095372,688.5568092098634,0
240.0,3615.165325573444,559.0420584606425,0
242.0,3597.1937191491006,401.30507608646826,0
244.0,3622.462363129153,280.72396373955166,0
246.0,3615.5287278797623,300.7561730836366,0
248.0,3606.611327610435,327.52168455461725,0
250.0,3597.693927341108,354.28719602559784,0
252.0,3608.669633274877,397.887855287664,0
254.0,3596.026154935956,456.97932808280194,0
256.0,3511.535723615099,588.3418099866744,0
258.0,3475.118475768019,632.2505732134696,0
260.0,3475.910185649027,629.7033732646697,0
262.0,3483.6263485065665,619.7776563242188,0
264.0,3491.342511364106,609.8519393837679,0
266.0,3499.058674221646,599.9262224433171,0
268.0,3506.7748370791855,590.0005055028662,0
270.0,3514.490999936725,580.0747885624153,0
272.0,3661.9520167549213,580.0723904746907,0
274.0,3735.514732678169,559.4061202839591,0
276.0,3772.952196080134,550.3735534842242,0
278.0,3787.736477898025,550.3735534842242,0
280.0,3802.5207597159165,550.3735534842242,0
282.0,3881.585811307899,567.8283347315856,0
284.0,4024.6905175714865,670.2347548438988,0
286.0,4049.821861112378,743.0111677116205,0
288.0,4059.5703792212976,815.4244581774758,0
290.0,4059.941547853436,840.756162734064,0
292.0,4059.941547853436,807.5408470294212,0
294.0,4059.941547853436,774.3255313247784,0
296.0,4052.4924512246316,702.4821717771291,0
298.0,4046.5285673112817,576.1028383302233,0
300.0,4116.9794762229085,483.82897173169005,0
302.0,4247.433530531953,437.8223914519437,0
304.0,4374.562594342511,436.1117303106369,0
306.0,4455.624473846999,498.73082962006293,0
308.0,4477.515608635934,565.2966406494936,0
310.0,4570.681935518187,582.7979612104197,0
312.0,4599.874069797235,574.5701041640449,0
314.0,4618.735932220673,564.0860779321226,0
316.0,4637.59779464411,553.6020517002004,0
318.0,4686.0870373289235,565.9015796332981,0
320.0,4732.3587798515655,569.6184924856367,0
322.0,4762.973600527966,554.303465885064,0
324.0,4793.617302856856,517.8701833262522,0
326.0,4780.114880200263,407.91766996589377,0
328.0,4799.561682152038,427.5485705623737,0
330.0,4822.409170165466,453.26478341744956,0
332.0,4852.560023361371,491.6561051698626,0
334.0,4902.146994875201,516.8244179254433,0
336.0,4938.1738820373375,521.6182511377771,0
338.0,4949.589035257911,530.1838757940793,0
340.0,4961.004188478484,538.7495004503817,0
342.0,4972.419341699058,547.3151251066839,0
344.0,4983.834494919632,555.8807497629862,0
346.0,5007.567172933719,546.0128913338363,0
348.0,5033.311727564619,533.1342093660512,0
350.0,5074.014194417426,439.59722725229676,0
352.0,5130.7210550843065,381.03364795611634,0
354.0,5157.583479991683,377.19424932571474,0
356.0,5184.445904899059,373.3548506953132,0
358.0,5211.308329806435,369.51545206491164,0
360.0,5315.375370152807,396.0475299138323,0
362.0,5469.409410265728,357.92701658316975,0
364.0,5586.5528042327505,343.4289313850032,0
366.0,5617.732422134045,351.22771424578457,0
368.0,5665.355394083334,358.72889273896766,0
370.0,5735.942706506264,362.49839435505146,0
372.0,5796.988613857224,362.49839435505146,0
374.0,5871.593040435537,373.7234478338219,0
376.0,5964.209548791742,392.63004589998263,0
378.0,6035.393608981024,453.10142568185313,0
380.0,6050.713726177077,472.3321556517342,0
382.0,6063.642364823517,488.96296166233384,0
384.0,6076.571003469957,505.59376767293344,0
386.0,6092.861572450431,562.2067632508995,0
388.0,5957.814840192972,664.4511953752991,0
390.0,5842.573816958907,681.3446608541745,0
392.0,5736.07910245888,664.489139832489,0
394.0,5672.010597452349,677.4320267199253,0
396.0,5678.827592924275,694.4829949571838,0
398.0,5719.212788052224,722.8589051056431,0
400.0,5798.1032596334535,759.6933849753979,0
402.0,5836.831481466061,772.5309748793604,0
404.0,5857.485758641773,796.6396209709172,0
406.0,5905.135174047384,827.3716505690733,0
408.0,6033.520805988736,899.9240151790158,0
410.0,6078.285371988227,952.4983278262644,0
412.0,6008.2975162415905,1035.267202154728,0
414.0,5910.9328626707775,1093.9965589385433,0
416.0,5910.9328626707775,1261.9645438950888,0
418.0,5913.529580771143,1276.1190847652185,0
420.0,5916.232393740396,1284.2315580587297,0
422.0,5918.93520670965,1292.344031352241,0
424.0,5921.638019678903,1300.4565046457524,0
426.0,5924.340832648157,1308.5689779392637,0
428.0,5927.04364561741,1316.681451232775,0
430.0,5929.746458586664,1324.7939245262864,0
432.0,5943.436001278074,1396.8575598003733,0
434.0,5944.465314026164,1457.0873164498885,0
436.0,5944.465314026164,1459.175636932434,0
438.0,5944.465314026164,1461.2639574149791,0
440.0,5944.465314026164,1463.3522778975243,0
442.0,5944.465314026164,1465.4405983800698,0
444.0,5944.465314026164,1467.528918862615,0
446.0,5944.465314026164,1469.6172393451604,0
448.0,5944.465314026164,1471.7055598277057,0
450.0,5944.465314026164,1473.7938803102509,0
452.0,5944.465314026164,1475.8822007927963,0
454.0,5944.465314026164,1477.9705212753415,0
456.0,5944.465314026164,1480.058841757887,0
458.0,5944.465314026164,1482.1471622404322,0
460.0,5944.465314026164,1484.2354827229774,0
462.0,5944.465314026164,1486.3238032055228,0
464.0,5944.465314026164,1488.412123688068,0
466.0,5944.465314026164,1490.5004441706133,0
468.0,5944.465314026164,1492.5887646531587,0
470.0,5944.465314026164,1494.677085135704,0
472.0,5944.465314026164,1496.7654056182494,0
474.0,5944.465314026164,1498.8537261007946,0
476.0,5944.465314026164,1500.9420465833398,0
478.0,5944.465314026164,1503.0303670658852,0
480.0,5939.632257176361,1471.7385032376721,0
482.0,5934.4555359209335,1438.0730730399218,0
484.0,5917.582039793377,1366.5255993100652,0
486.0,5877.400411315392,1247.04683043794,0
488.0,5844.085500793952,1193.8197863275648,0
490.0,5732.384878705507,1201.2267833245724,0
492.0,5649.616637179481,1202.5450474520435,0
494.0,5608.823297752873,1206.6264110833927,0
496.0,5429.120047508433,1197.6819832670305,0
498.0,5437.675180909829,1223.360153392291,0
500.0,5446.230314311225,1249.0383235175516,0
502.0,5475.751529116339,1342.8323507720097,0
504.0,5480.268371592754,1388.0232492640102,0
506.0,5487.684839317951,1526.5631606025418,0
508.0,5490.374481223655,1578.8171813702331,0
510.0,5528.08308150007,1581.9611282318308,0
512.0,5635.989116154099,1597.1065829181864,0
514.0,5689.618683725226,1583.879410346586,0
516.0,5689.618683725226,1555.3283618553326,0
518.0,5689.618683725226,1526.7773133640794,0
520.0,5689.618683725226,1472.961714051059,0
522.0,5680.606946155013,1436.0183933009625,0
524.0,5664.371731232641,1423.8359236877818,0
526.0,5648.136516310268,1411.6534540746013,0
528.0,5606.827254581424,1360.8730174604298,0
530.0,5547.1639615387385,1251.2011364851965,0
532.0,5550.638622832003,1152.7000959704576,0
534.0,5584.748474793647,986.26883112132,0
536.0,5620.971372846159,982.644739031493,0
538.0,5662.750840051708,1006.5579902275307,0
540.0,5776.141009748389,1092.640848866983,0
542.0,5944.103908717112,1067.2110336532935,0
544.0,6065.764235723553,996.307547212125,0
546.0,6117.83152951344,894.2694114242144,0
548.0,6114.80478157025,879.1281418563977,0
550.0,6111.778033627062,863.9868722885813,0
