visitor_id,item_id,timestamp
201902181010,0_0831,2019-02-18 10:26:58
201902181010,0_0841,2019-02-18 10:27:06
201902181010,0_0879,2019-02-18 10:27:22
201902181010,0_0869,2019-02-18 10:27:43
201902181010,0_0914,2019-02-18 10:27:47
201902181010,0_0910,2019-02-18 10:27:55
201902181010,0_0956,2019-02-18 10:28:00
201902181010,0_0900,2019-02-18 10:28:12
201902181010,0_0813,2019-02-18 10:28:30
201902181010,0_0785,2019-02-18 10:28:47
201902181010,0_0787,2019-02-18 10:28:50
201902181010,0_0962,2019-02-18 10:28:58
201902181010,0_0960,2019-02-18 10:29:19
201902181010,0_0779,2019-02-18 10:29:30
201902181010,0_0845,2019-02-18 10:29:43
201902181010,0_0912,2019-02-18 10:29:52
201902181010,0_0843,2019-02-18 10:29:57
201902181010,0_0967,2019-02-18 10:30:07
201902181010,0_0853,2019-02-18 10:30:15
201902181010,0_0861,2019-02-18 10:30:23
201902181010,0_0847,2019-02-18 10:30:24
201902181010,1_0124,2019-02-18 10:30:48
201902181010,1_0058,2019-02-18 10:31:37
201902181010,1_0987,2019-02-18 10:31:40
201902181010,1_0062,2019-02-18 10:31:45
201902181020,0_0668,2019-02-18 10:56:41
201902181020,0_0950,2019-02-18 10:57:08
201902181020,0_0859,2019-02-18 10:57:23
201902181020,0_0900,2019-02-18 10:57:59
201902181020,0_0841,2019-02-18 10:58:22
201902181020,0_0956,2019-02-18 10:58:34
201902181020,1_0078,2019-02-18 10:59:19
201902181020,1_0080,2019-02-18 10:59:40
201902181020,1_0985,2019-02-18 10:59:47
201902181020,1_0082,2019-02-18 11:00:00
201902181020,1_0987,2019-02-18 11:00:55
201902181020,1_0187,2019-02-18 11:01:02
201902181020,1_0370,2019-02-18 11:01:07
201902181020,2_2840,2019-02-18 11:02:14
201902181020,1_0235,2019-02-18 11:03:50
201902181020,1_0203,2019-02-18 11:04:32
201902181020,1_0150,2019-02-18 11:04:52
201902181200,0_0859,2019-02-18 12:08:53
201902181200,0_0918,2019-02-18 12:09:23
201902181200,0_0783,2019-02-18 12:09:31
201902181200,0_5830,2019-02-18 12:09:44
201902181200,0_0848,2019-02-18 12:10:05
201902181200,0_0894,2019-02-18 12:10:06
201902181200,0_0841,2019-02-18 12:10:18
201902181200,0_0869,2019-02-18 12:10:24
201902181200,0_0967,2019-02-18 12:10:42
201902181200,0_0680,2019-02-18 12:11:02
201902181200,0_0861,2019-02-18 12:11:07
201902181200,0_0843,2019-02-18 12:11:10
201902181200,0_0865,2019-02-18 12:11:17
201902181200,0_0969,2019-02-18 12:11:20
201902181200,0_0879,2019-02-18 12:11:42
201902181200,0_0890,2019-02-18 12:11:45
201902181210,0_0843,2019-02-18 12:12:10
201902181210,0_5830,2019-02-18 12:12:30
201902181200,1_0080,2019-02-18 12:12:47
201902181200,1_0148,2019-02-18 12:12:49
201902181200,1_0058,2019-02-18 12:12:49
201902181210,0_0841,2019-02-18 12:12:52
201902181200,1_0230,2019-02-18 12:12:54
201902181210,0_0869,2019-02-18 12:13:03
201902181200,1_0082,2019-02-18 12:13:12
201902181200,1_0084,2019-02-18 12:13:20
201902181200,1_0103,2019-02-18 12:13:34
201902181210,0_0861,2019-02-18 12:13:34
201902181200,1_0097,2019-02-18 12:13:35
201902181200,1_0074,2019-02-18 12:13:37
201902181200,1_0095,2019-02-18 12:13:40
201902181210,0_0847,2019-02-18 12:13:43
201902181210,1_0230,2019-02-18 12:13:53
201902181200,1_0278,2019-02-18 12:13:54
201902181210,1_0976,2019-02-18 12:14:03
201902181200,1_0976,2019-02-18 12:14:04
201902181210,1_0985,2019-02-18 12:14:05
201902181200,1_0160,2019-02-18 12:14:11
201902181200,1_0187,2019-02-18 12:14:16
201902181210,1_0084,2019-02-18 12:14:19
201902181210,1_0084,2019-02-18 12:14:20
201902181210,1_0379,2019-02-18 12:14:27
201902181210,1_0187,2019-02-18 12:14:31
