trajectory_id,duration,speed,nb_items,nb_stops,length,distwall,curvature
201902181020,3704.0,17.244834308869148,116.0,56,63729.789579664866,186.9480682976089,0.03878279982890529
201902181200,2948.0,32.33411159824665,95.0,42,95257.54412785216,167.64951226778817,0.17490552366370313
201902181210,2948.0,32.79373720971958,96.0,39,96566.81895780108,171.2666852720773,0.1445223443731352
201902181410,3696.0,24.98819984089513,237.0,79,92159.27819107927,166.74566364087696,0.02980033609890651
201902181600,4836.0,18.148534088731076,196.0,92,87735.32479363261,209.25232520871575,0.11187502009124077
201902181610,1026.0,61.32404419016667,51.0,6,62672.58991812715,162.55242036635983,0.010903384526742816
201902201020,674.0,37.91136387000431,9.0,11,25413.725523225214,157.1591888123026,0.38811749851777944
201902201210,2942.0,34.20752638991848,189.0,50,100696.86340253722,210.50493509833746,0.026432765993285996
201902201400,4594.0,19.690566404199487,187.0,79,90188.72374630059,177.87362560536272,0.2696652686593996
201902201410,4530.0,25.929521497964387,201.0,73,117468.83766066958,179.87984872203717,0.040875092368700405
201902201600,2662.0,35.58923845797393,164.0,38,94571.11440846548,160.46273808569958,0.019813617577540354
201902201610,2632.0,33.0320308427837,196.0,33,86894.12683203378,167.0322792204622,0.024111187309242332
201902211210,3992.0,26.614098841603337,271.0,74,105978.69586781888,158.7641260774725,0.029689747244067935
201902211400,3086.0,25.623708334962167,211.0,61,78996.64467276337,190.22298481146626,0.032641864301596844
201902211600,1550.0,33.39456111783569,76.0,22,51768.378348156446,226.64502482821592,0.07402323648917764
201902211610,1560.0,32.95252353821152,61.0,25,51230.06318333809,222.63775427448178,0.026764922716576295
201902211700,2442.0,31.077762845205942,117.0,33,75687.19831001882,189.0561956161632,0.02667434227595545
201902211710,2444.0,34.520007493071326,102.0,36,84252.69885470674,188.44186349341936,0.03873148762275588
201902221020,4686.0,16.733707464784157,112.0,57,78392.78867121338,182.79797694880799,0.08187636698712378
201902221200,3392.0,21.62541733376934,143.0,63,73122.57164734762,186.92163028201153,0.053814311804402125
201902221210,3466.0,23.843497469478834,131.0,61,82353.48125876008,191.65043234374068,0.06297096460281211
201902221400,5096.0,26.73454193965413,171.0,78,136122.00804394702,166.71957072434003,0.03811553493627614
201902221410,4428.0,15.147104419728445,179.0,71,66855.04938546343,224.15000208664932,0.5777339912400187
201902221600,3384.0,29.13160344603115,195.0,48,98426.04788780984,202.8169713266635,0.04250049832798917
201902221610,3148.0,26.8221749015935,179.0,64,84280.41480644875,194.256765692108,0.01675681325053271
201902231200,3398.0,25.869496920887723,194.0,59,87636.28664874024,180.34533704476334,0.026489586108871834
201902251200,4064.0,18.587297537696806,169.0,77,75222.05251141643,227.73592982079646,0.03544773456660208
201903011010,4580.0,19.862313524904625,114.0,74,90880.19806126835,180.5065035051458,0.05673655017975096
201903011020,4584.0,21.403963448201715,108.0,72,97817.52682219297,171.3858418692158,0.07385262465412519
201903011600,3482.0,21.454346397508846,156.0,66,74517.48859430538,170.05798414279985,0.036703890356290556
201903021410,4808.0,12.328076609777813,116.0,65,58890.24689574553,196.82440570479642,0.05368980593832903
201903021610,5590.0,18.48911754106158,237.0,94,103351.0351617177,219.47865275775268,0.10360844027663517
201903041020,4280.0,24.54209663515486,193.0,74,104727.23350154738,216.68720779927452,0.053150884964176415
201903041600,3142.0,32.333189356833685,178.0,60,101341.34516937046,173.10278488938678,0.01809355852120641
201903061400,3736.0,19.562912616367797,122.0,63,72930.30792424353,152.05307453623115,0.028958115545465405
201903061410,4920.0,18.881831956493105,131.0,71,92677.44310265977,146.0251570075289,0.16107317759213272
201903061610,4226.0,20.285439380262204,193.0,79,85735.3365516643,242.3320610941378,0.040264378682376055
201903081400,2062.0,30.17539128300728,105.0,41,61967.19118091839,207.62051767511886,0.0259162499941545
201903081410,2062.0,30.496374561185004,116.0,36,62625.16772734961,206.22048175401167,0.02476994321832232
201903081610,2186.0,29.5571830589672,97.0,31,64469.325521365216,158.60666239621892,0.038947213479467384
201903091010,3768.0,14.566135246230312,69.0,54,54660.3331070345,141.34724630845744,0.05196315119831027
201903091200,2982.0,32.66631731765516,161.0,53,97118.97662139402,178.6001780924323,0.06242375241824825
201903091210,2990.0,31.855418959723504,140.0,52,94979.85081576789,176.66176960315448,0.03346561361215602
201903091410,4214.0,19.449642575016405,135.0,70,81715.29828917944,178.02812703411507,0.03782531611691965
201903091600,2400.0,30.76509906157523,119.0,45,73774.6501236339,205.15039966753594,0.011433831330269947
201903111400,3588.0,33.08266866948699,224.0,50,118636.25194664524,188.67880209033868,0.024948639952141822
201903181610,2890.0,24.64272417362217,110.0,58,71036.20115961113,179.35191984576377,0.02040716140858245
201903201010,3628.0,16.034010381550782,71.0,55,58025.57408158322,139.46006599765448,0.050527474833136014
201903201020,3632.0,16.18825114031049,90.0,58,58582.53836363254,132.0712599201389,0.1177850504838531
201903211400,3188.0,30.336727132069036,85.0,29,96548.18485025287,191.31600232005553,0.24037409149806527
201903211410,3116.0,30.6751098669646,86.0,21,95534.77146279025,175.37602351848523,0.2061276635295502
