Date,VisitorsNumber,Comment
02/05/2018,167
03/05/2018,145
04/05/2018,113
05/05/2018,103
06/05/2018,845
07/05/2018,328
09/05/2018,232
10/05/2018,262
11/05/2018,327
12/05/2018,182
13/05/2018,298
14/05/2018,237
16/05/2018,247
17/05/2018,403
18/05/2018,337
19/05/2018,266
20/05/2018,484
21/05/2018,205
23/05/2018,213
24/05/2018,364
25/05/2018,649
26/05/2018,176
27/05/2018,300
28/05/2018,361
30/05/2018,361
31/05/2018,330
01/06/2018,388
02/06/2018,303
03/06/2018,1042
04/06/2018,451
06/06/2018,297
07/06/2018,374
08/06/2018,311
09/06/2018,263
10/06/2018,832
11/06/2018,439
13/06/2018,269
14/06/2018,550
15/06/2018,452
16/06/2018,254
17/06/2018,327
18/06/2018,371
20/06/2018,302
21/06/2018,449
22/06/2018,468
23/06/2018,302
24/06/2018,306
25/06/2018,325
27/06/2018,313
28/06/2018,378
29/06/2018,447
30/06/2018,191
01/07/2018,957
02/07/2018,178
04/07/2018,220
05/07/2018,539
06/07/2018,171
07/07/2018,226
08/07/2018,208
09/07/2018,165
10/07/2018,-1
11/07/2018,202
12/07/2018,189
13/07/2018,186
14/07/2018,-1, HOLIDAY
15/07/2018,197
16/07/2018,235
17/07/2018,-1
18/07/2018,223
19/07/2018,181
20/07/2018,135
21/07/2018,203
22/07/2018,244
23/07/2018,205
24/07/2018,-1
25/07/2018,194
26/07/2018,196
27/07/2018,144
28/07/2018,237
29/07/2018,252
30/07/2018,247
31/07/2018,-1
01/08/2018,240
02/08/2018,250
03/08/2018,201
04/08/2018,189
05/08/2018,1235
06/08/2018,259
07/08/2018,-1
08/08/2018,292
09/08/2018,289
10/08/2018,259
11/08/2018,288
12/08/2018,326
13/08/2018,283
14/08/2018,-1
15/08/2018,273
16/08/2018,275
17/08/2018,251
18/08/2018,335
19/08/2018,293
20/08/2018,310
21/08/2018,-1
22/08/2018,431
23/08/2018,241
24/08/2018,247
25/08/2018,393
26/08/2018,284
27/08/2018,219
28/08/2018,-1
29/08/2018,292
30/08/2018,245
31/08/2018,173
01/09/2018,286
02/09/2018,1576
03/09/2018,308
04/09/2018,-1
05/09/2018,171
06/09/2018,107
07/09/2018,250
08/09/2018,165
09/09/2018,137
10/09/2018,1617
11/09/2018,
12/09/2018,126
13/09/2018,154
14/09/2018,277
15/09/2018,2325
16/09/2018,3726
17/09/2018,146
18/09/2018,-1
19/09/2018,156
20/09/2018,156
21/09/2018,165
22/09/2018,245
23/09/2018,216
24/09/2018,193
25/09/2018,-1
26/09/2018,165
27/09/2018,174
28/09/2018,150
29/09/2018,218
30/09/2018,275
01/10/2018,102
02/10/2018,-1
03/10/2018,166
04/10/2018,99
05/10/2018,284
06/10/2018,231
07/10/2018,1149
08/10/2018,129
09/10/2018,-1
10/10/2018,139
11/10/2018,177
12/10/2018,998
13/10/2018,278
14/10/2018,171
15/10/2018,167
16/10/2018,-1
17/10/2018,227
18/10/2018,265
19/10/2018,248
20/10/2018,312
21/10/2018,255
22/10/2018,198
23/10/2018,-1
24/10/2018,257
25/10/2018,231
26/10/2018,195
27/10/2018,380
28/10/2018,288
29/10/2018,301
30/10/2018,-1
31/10/2018,180
02/11/2018,363
03/11/2018,327
04/11/2018,1694
05/11/2018,180
06/11/2018,-1
07/11/2018,128
08/11/2018,396
09/11/2018,543
10/11/2018,259
11/11/2018,139
12/11/2018,238
13/11/2018,-1
14/11/2018,185
15/11/2018,517
16/11/2018,467
17/11/2018,263
18/11/2018,164
19/11/2018,123
20/11/2018,-1
21/11/2018,175
22/11/2018,170
23/11/2018,484
24/11/2018,316
25/11/2018,229
26/11/2018,117
27/11/2018,-1
28/11/2018,110
29/11/2018,294
30/11/2018,58
01/12/2018,1427
02/12/2018,1652
03/12/2018,211
04/12/2018,-1
05/12/2018,229
06/12/2018,302
07/12/2018,405
08/12/2018,-1, EXCEPTIONAL CLOSING
09/12/2018,300
10/12/2018,389
11/12/2018,-1
12/12/2018,136
13/12/2018,394
14/12/2018,272
15/12/2018,237
16/12/2018,122
17/12/2018,256
18/12/2018,-1
19/12/2018,152
20/12/2018,180
21/12/2018,194
22/12/2018,88
23/12/2018,123
24/12/2018,104
25/12/2018,-1
26/12/2018,279
27/12/2018,358
28/12/2018,298
29/12/2018,240
30/12/2018,297
31/12/2018,264
01/03/2019,479
02/03/2019,326
03/03/2019,2627
04/03/2019,280
05/03/2019,-1
06/03/2019,239
07/03/2019,450
08/03/2019,394
09/03/2019,394
10/03/2019,359
11/03/2019,139
12/03/2019,-1
13/03/2019,191
14/03/2019,364
15/03/2019,473
16/03/2019,359
17/03/2019,384
18/03/2019,301
19/03/2019,-1
20/03/2019,274
21/03/2019,220
22/03/2019,550
23/03/2019,305
24/03/2019,312
25/03/2019,456
26/03/2019,-1
27/03/2019,24
28/03/2019,396
29/03/2019,509
30/03/2019,263
31/03/2019,285
01/04/2019,194
02/04/2019,-1
03/04/2019,335
04/04/2019,372
05/04/2019,2406, SPECIAL EVENT
06/04/2019,169
07/04/2019,1395
08/04/2019,138
09/04/2019,-1
10/04/2019,250
11/04/2019,184
12/04/2019,124
13/04/2019,207
14/04/2019,381
15/04/2019,196
16/04/2019,-1
17/04/2019,244
18/04/2019,198
19/04/2019,260
20/04/2019,288
21/04/2019,193
22/04/2019,205
23/04/2019,-1
24/04/2019,285
25/04/2019,463
26/04/2019,437
27/04/2019,341
28/04/2019,346
29/04/2019,435
30/04/2019,-1
01/05/2019,-1, HOLIDAY
02/05/2019,362
03/05/2019,390
04/05/2019,531
05/05/2019,1164
06/05/2019,266
07/05/2019,-1
08/05/2019,309
09/05/2019,282
10/05/2019,372
11/05/2019,406
12/05/2019,265
13/05/2019,356
14/05/2019,-1
15/05/2019,264
16/05/2019,382
17/05/2019,494
18/05/2019,199
19/05/2019,2266, SPECIAL EVENT
20/05/2019,364
21/05/2019,-1
22/05/2019,214
23/05/2019,524
24/05/2019,533
25/05/2019,225
26/05/2019,152
27/05/2019,294
28/05/2019,-1
29/05/2019,178
30/05/2019,257
31/05/2019,389
01/06/2019,392
02/06/2019,893
03/06/2019,1229
04/06/2019,-1
05/06/2019,266
06/06/2019,440
07/06/2019,377
08/06/2019,182
09/06/2019,935, SPECIAL EVENT
10/06/2019,220
