trajectory_id,distwall,zone_area_mean,zone_area_min,zone_area_max,pct_small_zone,pct_large_zone,passage_width_mean,n_points_x,duration,speed,nb_items,nb_stops,length,curvature,avg_observation_time,stop_intensity,isovist_area_mean,isovist_area_min,isovist_area_max,isovist_perimeter_mean,isovist_perimeter_min,isovist_perimeter_max,n_points_y,isovist_area_range
201902181020,186.9480682976089,1198047.3060621133,323760.68074737914,3300738.02835025,0.3258706467661691,0.2587064676616915,3.1578611228378417,402,3704.0,17.244834308869148,116.0,56,63729.78957966487,0.0387827998289052,11.438786285714285,0.9071274297909212,24458681.051383574,789993.3280952836,176126438.98975846,86428.61062311279,4862.523488775585,374502.304419665,41,175336445.66166317
201902181200,167.64951226778817,1677845.4319034752,282555.01348953205,3300738.02835025,0.1123417721518987,0.555379746835443,3.4438660208133176,632,2948.0,32.33411159824665,95.0,42,95257.54412785216,0.1749055236637031,16.366055653846153,0.8548168249486808,48804714.50552264,1530576.8214912638,213418457.91113475,90968.69477299563,9371.287178356693,373234.7144869473,64,211887881.08964348
201902181210,171.2666852720773,1667628.3036753957,282555.01348953205,3300738.02835025,0.1125198098256735,0.5404120443740095,3.5110856956165137,631,2948.0,32.79373720971958,96.0,39,96566.81895780108,0.1445223443731352,16.362285629629625,0.7937584803094894,52458713.32207914,1457209.0704719545,249748898.24454153,93661.10900911815,7968.2934058796245,379478.1857254056,64,248291689.17406958
201902181410,166.74566364087696,1323993.2244573869,282555.01348953205,3300738.02835025,0.286634460547504,0.3526570048309179,3.1361292864495742,621,3696.0,24.98819984089513,237.0,79,92159.27819107928,0.0298003360989065,9.13915685074627,1.2824675324467132,29737839.949591022,587885.0132196972,213150958.4399262,78834.80427265551,6310.313144026299,374518.4815587534,63,212563073.42670652
201902181600,209.2523252087157,1505832.2211173165,282555.01348953205,3300738.02835025,0.1493411420204978,0.452415812591508,3.35456957931008,683,4836.0,18.14853408873108,196.0,92,87735.32479363261,0.1118750200912407,10.032274465116233,1.141439205941173,46257470.03162863,770098.3163676353,238444800.2950147,88044.32177624393,4827.691847670875,350322.8920300726,69,237674701.97864708
201902181610,162.55242036635985,1356463.1125961735,282555.01348953205,3300738.02835025,0.2890625,0.40625,3.4499937357152834,128,1026.0,61.32404419016667,51.0,6,62672.58991812715,0.0109033845267428,6.556555099999999,0.350877192961937,58537273.70867901,1150180.962606549,195122411.73263454,109860.36244268507,8840.458870257637,368289.2235904024,13,193972230.770028
201902201020,157.1591888123026,1776437.40094155,282555.01348953205,3300738.02835025,0.0917159763313609,0.5976331360946746,3.1622127718356428,338,674.0,37.91136387000431,9.0,11,25413.725523225214,0.3881174985177794,26.06397175,0.9792284865597126,24713098.04676965,1771797.6467339718,213737733.93084037,79780.33252309526,13570.938322826045,222070.45495564086,34,211965936.2841064
201902201210,210.50493509833743,1556712.0807524298,282555.01348953205,3300738.02835025,0.1617357001972386,0.4911242603550296,3.613879150071068,507,2942.0,34.20752638991848,189.0,50,100696.86340253722,0.0264327659932859,9.919159024999994,1.019714479924819,35884835.005916536,1103126.5693996355,155095444.3937549,88361.77618108026,7877.540957944799,397513.3579396688,51,153992317.82435527
201902201400,177.87362560536272,1343023.925833003,282555.01348953205,3300738.02835025,0.1922753988245172,0.4214945424013434,2.9919842067738838,1191,4594.0,19.690566404199487,187.0,79,90188.7237463006,0.2696652686593996,18.15668323529413,1.0317805833561369,29365740.371979047,826708.4135700511,196515861.2140058,68678.1033305646,6120.537649514509,371412.5818967723,120,195689152.80043575
201902201410,179.87984872203717,1376159.4276226696,282555.01348953205,3300738.02835025,0.0950782997762863,0.2885906040268456,2.9093588100937557,894,4530.0,25.929521497964387,201.0,73,117468.83766066958,0.0408750923687004,50.70715169491527,0.9668874172057366,40007303.65022785,1358402.807102716,192697823.1534505,77292.3944236813,11947.793379181821,314394.08395002,90,191339420.34634778
