trajectory_id,x,y,isovist_area,isovist_perimeter
201902181020,2611.339649300733,4703.756535661291,176126438.98975846,346365.7211026343
201902181020,2016.890408850379,3513.0517126672576,54624882.37181253,160767.45539835005
201902181020,1740.687889428433,2701.279400017813,30832609.951924805,153642.26779164316
201902181020,2101.187088696224,2393.517108230727,35584731.906564675,157634.6099954529
201902181020,2041.57039635,1978.907420198127,19305526.922220077,122044.82877538414
201902181020,2058.3363569159424,1939.7673809480864,16570869.331657145,152619.6933522916
201902181020,2075.1023174818843,1900.627341698046,16725879.941684164,181513.2058902611
201902181020,2433.2633491233337,1353.1252427983532,1419542.3036862053,14915.73402064887
201902181020,3536.854232361735,1337.6378436832752,3014915.6320561958,22146.172542256907
201902181020,3480.099465777296,1637.3655455887233,2325704.827449399,20731.471988442063
201902181020,3609.61649010517,1551.6238465390454,1965078.8130300518,16549.135071999488
201902181020,4058.975012111657,1867.521383837808,3121365.944359606,69783.54697449078
201902181020,4348.542453338051,2074.3920446433185,100953975.10419586,70171.1071839512
201902181020,4163.932574296844,2380.458674537497,14722488.941353317,78306.63351114799
201902181020,4990.57046014234,1902.9838483480048,95967124.98349765,106736.38278819372
201902181020,5561.131133311033,1370.8541485630035,8002929.816285804,46102.46814374999
201902181020,5669.499212911994,1576.524203426044,1519717.1030961103,12616.31028034099
201902181020,5720.770901302613,1802.853927340312,2204625.5955153434,16188.843823616719
201902181020,6272.623157314844,1558.0325398576429,18400764.05947128,102561.87199375479
201902181020,6271.022881639172,1538.8196770679042,14620594.68143777,101902.46959798678
201902181020,6269.422605963499,1519.6068142781653,14561596.870752487,72846.63147071442
201902181020,6267.822330287827,1500.3939514884266,18693473.65724417,100555.92270399156
201902181020,6255.153961908417,1426.8971764172884,15759955.676300995,157056.78777009522
201902181020,5882.249836926642,1095.8684104441957,15410395.688803121,57061.77174515019
201902181020,5738.661702265326,1079.2970961112885,21140752.210276052,81525.4599504615
201902181020,5674.209378896173,638.568766456796,2582072.7863410255,48442.9975582285
201902181020,5932.159955738108,662.9427875841052,6053436.749651972,42592.563354685844
201902181020,6024.419027259689,710.884973344108,6631381.328527343,43212.45340557104
201902181020,6052.431320602961,738.9112043143892,6501513.434244985,41863.65622367241
201902181020,6080.443613946233,766.9374352846705,6501145.315190358,43480.538131517395
201902181020,6360.554454135369,841.8764287567736,15002004.400096355,90954.25226674715
201902181020,6377.240104374086,676.5862549713204,6048957.286210602,61401.678306273774
201902181020,6423.334019494573,424.8871301435545,1800658.6734903643,32232.00445042399
201902181020,6558.46418493462,403.68488235007175,5668875.171248857,32123.497477206347
