id,x,y,zone
0_5830,2.5,4841.522199999999,1
0_0558,433.0,4405.8965,1
0_0562,1257.4963,4405.8175,0
0_5838,1598.5076,1411.8966,2
0_5836,1598.5076,1180.8966,2
0_5834,1811.0076,1529.8966,2
0_0571,1629.4926,3686.2076,3
0_0574,1629.4926,3539.8076,3
0_0572,1629.4926,3393.4076,3
0_0575,1629.4926,3247.0076,3
0_0573,1629.4926,3100.6076,3
0_0577,1629.5076,2276.89655,3
0_0570,1899.4926,3761.9076,3
0_2100,2137.0,860.8622,2
0_5832,2462.0076,1529.8966,2
0_0565,2934.9926,4405.8175,0
0_0668,3622.0076,1721.8968,7
0_0670,3362.0076,1721.8968,7
0_0673,3371.5,1486.8622,7
0_0680,3371.5,941.61220125,7
0_0689,3371.5,322.11220375000016,7
0_0675,3739.5,1475.3622,7
0_0772,3749.5,1475.3622,10
0_0783,3749.5076,2109.3968,8
0_0776,3749.5076,1849.3968,8
0_0779,4039.5,1953.8622,8
0_0787,3955.25,1963.8622,8
0_0785,4123.75,1963.8622,8
0_0678,3911.5,874.3622,7
0_0718,3929.5,874.3622,7
0_0729,4650.666666666667,971.8622,10
0_0938,4490.0,971.8622,10
0_0724,4329.333333333333,971.8622,10
0_0826,4490.0,981.8622,10
0_0789,4263.5,2145.8622,8
0_0334,4273.5,2145.8622,9
0_0781,4305.5,1705.8622,8
0_0720,4309.5,709.3622,7
0_0813,4315.5,1781.1122,10
0_0815,4315.5,1630.6122,10
0_0375,4319.5,709.3622,10
0_0821,4801.0,2031.8622,10
0_0817,4591.0,2031.8622,10
0_0801,4556.0,2041.8622,9
0_0803,4696.0,2041.8622,9
0_0337,4836.0,2041.8622,9
0_0829,4607.5,1693.8622,10
0_0819,4607.5,1703.8622,10
0_0742,5264.0,699.8895,7
0_0741,5204.0,699.8895,7
0_0739,5144.0,699.8895,7
0_0737,5084.0,699.8895,7
0_0735,5024.0,699.8895,7
0_0733,4964.0,699.8895,7
0_0731,4904.0,699.8895,7
0_0749,4916.0,710.00678,11
0_0751,5000.0,710.00678,11
0_0753,5084.0,710.00678,11
0_0755,5168.0,710.00678,11
0_0757,5252.0,710.00678,11
0_0807,5025.5,2100.6122,9
0_0809,5025.5,2191.1122,9
0_0962,5035.5,2145.8622,9
0_0824,5148.5,1831.8622,10
0_0841,5158.5,1831.8622,13
0_0869,5906.25,1916.8622,13
0_0843,5502.75,1916.8622,13
0_0347,5358.642857142857,1926.8622,9
0_0958,5473.928571428572,1926.8622,9
0_0350,5589.214285714285,1926.8622,9
0_0960,5704.5,1926.8622,9
0_0353,5819.785714285715,1926.8622,9
0_0356,5935.071428571428,1926.8622,9
0_0967,6050.357142857143,1926.8622,9
0_0833,5308.5,1417.3622,10
0_0831,5308.5,1507.3622,10
0_0853,5318.5,1507.3622,13
0_0855,5318.5,1417.3622,13
0_0767,5415.5,644.5622000000001,11
0_0765,5415.5,728.9622,11
0_0763,5415.5,813.3622,11
0_0761,5415.5,897.7622,11
0_0759,5415.5,982.1622,11
0_0875,5425.5,954.0288666666667,15
0_0877,5425.5,813.3622,15
0_0879,5425.5,672.6955333333333,15
0_0894,5743.5,531.8622,7
0_0881,5585.625,541.8622,15
0_0883,5690.875,541.8622,15
0_0885,5796.125,541.8622,15
0_0887,5901.375,541.8622,15
0_0439,5876.5,972.8622,15
0_0859,5876.5,982.8622,13
0_0851,5779.5,1369.8622,13
0_0848,5779.5,1466.8622,13
0_0847,5779.5,1563.8622,13
0_0845,5779.5,1660.8622,13
0_0861,5789.5,1515.3622,13
0_0969,6095.5,2098.3622,9
0_0692,3531.1895388888893,29.49409622222224,7
0_0694,3851.108416666667,58.772696666666675,7
0_0696,4171.027294444445,88.05129711111113,7
0_0699,4490.946172222222,117.32989755555556,7
0_0701,4810.86505,146.608498,7
0_0703,5130.783927777778,175.88709844444446,7
0_0705,5450.702805555556,205.16569888888887,7
0_0707,5770.621683333333,234.44429933333333,7
0_0709,6090.540561111111,263.72289977777774,7
0_0890,6250.5,595.3622,15
0_0930,6260.4921,872.7997,14
0_0300,6260.4921,793.6747,14
0_0301,6260.4921,714.5497,14
0_0302,6260.4921,635.4247,14
0_0912,6260.4921,556.2997,14
0_0924,6260.4921,477.17470000000003,14
0_0922,6260.4921,398.04970000000003,14
0_0303,6260.4921,318.92470000000003,14
0_0305,6787.5,1021.8622,14
0_0948,6692.5,1021.8622,14
0_0950,6597.5,1021.8622,14
0_0306,6502.5,1021.8622,14
0_0865,6645.0,1031.8622,13
0_0932,6837.5076,389.6467191666667,14
0_0934,6837.5076,504.1466975,14
0_0940,6837.5076,618.6466758333333,14
0_0304,6837.5076,733.1466541666667,14
0_0726,6837.5076,847.6466325000001,14
0_0942,6837.5076,962.1466108333334,14
0_0920,6308.598583333333,283.9878175,14
0_0918,6404.81155,293.23905249999996,14
0_0900,6501.024516666667,302.4902875,14
0_0902,6597.237483333333,311.7415225,14
0_0906,6693.45045,320.99275750000004,14
0_0908,6789.663416666667,330.2439925,14
