timestamp,floorNumber,x,y
2.471097,0,2175.417781680708,4797.694115225878
3.41528,0,2175.417781680708,4703.756535661291
4.76679,0,2168.71129140963,4596.3993018731935
7.294725,0,2128.4723497831665,4522.591203643875
9.831201,0,2054.7009568013154,4502.461722308607
11.078754,0,1980.929563819465,4515.881376532119
12.879102,0,1920.571151379769,4515.881376532119
19.655466,0,1980.929563819465,4515.881376532119
20.231413,0,2041.287976259161,4509.171549420363
20.839703,0,2121.765859512089,4468.912586749826
21.791982,0,2155.2983108674753,4428.653624079288
22.86389,0,2168.71129140963,4381.684834296996
23.639359,0,2182.124271951785,4301.166908955922
26.943603,0,2182.124271951785,4213.939156503091
28.687846,0,2175.417781680708,4140.131058273773
29.351838,0,2175.417781680708,4059.613132932699
30.063693,0,2182.124271951785,4005.9345160386506
30.672343,0,2188.830762222862,3932.126417809332
31.231689,0,2175.417781680708,3858.3183195800148
31.919931,0,2175.417781680708,3791.220048462453
32.935527,0,2175.417781680708,3710.702123121379
34.79964,0,2148.591820596398,3610.0547164450363
35.599923,0,2094.9398984277796,3529.536791103962
41.311194,0,2054.7009568013154,3469.1483470981566
42.175428,0,2014.4620151748516,3388.6304217570832
43.007567,0,1954.1036027351556,3287.98301508074
43.631628,0,1893.74519029546,3200.7552626279103
44.175562,0,1846.7997583979188,3120.237337286836
44.632134,0,1766.3218751449906,3039.719411945762
45.215526,0,1699.2569724342175,2986.040795051713
45.871751,0,1618.7790891812895,2965.911313716444
46.943914,0,1524.8882253862068,2959.2014866046884
47.807414,0,1444.410342133279,2959.2014866046884
49.023971,0,1337.1064977960418,2965.911313716444
51.335578,0,1243.2156340009592,2952.491659492932
68.717028,0,1162.7377507480314,2952.491659492932
70.420755,0,1082.2598674951034,2945.7818323811757
73.836823,0,961.5430426157117,2932.3621781576635
135.849427,0,968.2495328867888,2986.040795051713
136.384951,0,1028.6079453264847,3033.009584834006
137.048937,0,1095.672848037258,3093.3980288398116
137.81742,0,1142.6182799347994,3147.076645733861
138.560659,0,1182.8572215612633,3200.7552626279103
139.176904,0,1216.38967291665,3261.1437066337157
139.736783,0,1229.8026534588046,3314.822323527765
140.34531,0,1229.8026534588046,3361.7911133100583
242.717478,0,1236.509143729882,3301.402669304253
243.58138,0,1256.628614543114,3214.1749168514225
244.54951,0,1290.1610658985005,3153.786472845617
245.277679,0,1316.98702698281,3093.3980288398116
246.085884,0,1343.812988067119,3019.589930610494
247.085662,0,1384.0519296935831,2972.6211408282006
248.013409,0,1451.1168324043563,2945.7818323811757
249.253823,0,1524.8882253862068,2952.491659492932
250.565539,0,1591.9531280969802,2945.7818323811757
251.781401,0,1672.4310113499082,2959.2014866046884
252.749536,0,1719.3764432474493,2979.3309679399567
253.701557,0,1806.5608167714547,3046.4292390575183
254.525321,0,1873.6257194822279,3120.237337286836
255.429109,0,1907.1581708376143,3180.6257812926415
256.285604,0,1960.810093006233,3247.724052410203
257.221412,0,2014.4620151748516,3328.2419777512773
258.053878,0,2041.287976259161,3415.4697302041072
258.917564,0,2061.4074470723926,3489.2778284334254
292.659361,0,2061.4074470723926,3556.376099550987
294.155366,0,2034.5814859880838,3636.894024892061
295.21896,0,1960.810093006233,3670.443160450842
299.019005,0,1913.864661108692,3683.862814674354
312.827382,0,1846.7997583979188,3657.023506227329
313.500002,0,1779.7348556871452,3663.733333339086
314.531503,0,1726.0829335185267,3677.152987562598
321.909674,0,1712.669952976372,3603.3448893332807
323.405154,0,1719.3764432474493,3516.1171368804503
339.886292,0,1726.0829335185267,3415.4697302041072
344.437789,0,1719.3764432474493,3328.2419777512773
345.854801,0,1719.3764432474493,3247.724052410203
347.438308,0,1766.3218751449906,3180.6257812926415
348.694473,0,1819.9737973136093,3106.817683063324
349.582858,0,1866.9192292111507,3066.558720392787
351.318078,0,1940.6906221930012,3026.29975772225
384.475172,0,2014.4620151748516,2986.040795051713
385.467289,0,2094.9398984277796,2932.3621781576635
386.259273,0,2175.417781680708,2885.3933883753703
387.307129,0,2255.8956649336355,2878.683561263614
388.650749,0,2343.080038457641,2871.973734151858
389.834821,0,2410.144941168414,2845.134425704833
400.376121,0,2450.383882794878,2905.5228697106386
400.911516,0,2470.50335360811,2972.6211408282006
401.528695,0,2497.3293146924193,3079.9783746162993
402.431206,0,2510.7422952345737,3153.786472845617
403.278987,0,2517.4487855056514,3220.8847439631786
403.99946,0,2510.7422952345737,3361.7911133100583
405.127918,0,2497.3293146924193,3435.599211539376
412.32544,0,2591.220178487502,3449.0188657628887
445.285288,0,2591.220178487502,3334.9518048630334
446.196466,0,2591.220178487502,3234.3043981866913
447.108133,0,2591.220178487502,3147.076645733861
448.012774,0,2524.155275776728,3053.1390661692744
449.364679,0,2470.50335360811,3019.589930610494
