,dist_window_mean,dist_window_min,pct_near_window,speed,duration,nb_stops,nb_items,length,stop_intensity
dist_window_mean,1.0,0.2670504489917276,-0.4812783225162971,0.05295131127027694,0.10784592364070812,-0.040820139305714674,0.17680126481330807,0.30446746388681556,-0.29015146541276127
dist_window_min,0.2670504489917276,1.0,-0.6014299920743711,0.22465359803608495,-0.05664030085003866,-0.043825269147824614,0.11883554217722182,0.12663515248807003,-0.08108664857320261
pct_near_window,-0.4812783225162971,-0.6014299920743711,1.0,0.004734724640657931,-0.24034073053691177,-0.12116886318478924,-0.22976925523545805,-0.36229915716357824,0.202240631691177
speed,0.05295131127027694,0.22465359803608495,0.004734724640657931,1.0,-0.7622524125265089,-0.7309347402041023,-0.21032874922342312,0.038348378326678874,-0.3729997344685528
duration,0.10784592364070812,-0.05664030085003866,-0.24034073053691177,-0.7622524125265089,1.0,0.8847461842067091,0.5194274790609182,0.5158946017952672,0.1766626922475084
nb_stops,-0.040820139305714674,-0.043825269147824614,-0.12116886318478924,-0.7309347402041023,0.8847461842067091,1.0,0.6614794880563146,0.4322719301045884,0.5858229695185783
nb_items,0.17680126481330807,0.11883554217722182,-0.22976925523545805,-0.21032874922342312,0.5194274790609182,0.6614794880563146,1.0,0.6594447443644893,0.46067965879756473
length,0.30446746388681556,0.12663515248807003,-0.36229915716357824,0.038348378326678874,0.5158946017952672,0.4322719301045884,0.6594447443644893,1.0,0.008716006559001703
stop_intensity,-0.29015146541276127,-0.08108664857320261,0.202240631691177,-0.3729997344685528,0.1766626922475084,0.5858229695185783,0.46067965879756473,0.008716006559001703,1.0
