passation_hour,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff
2019/03/20 5:08:18 PM UTC+2,201903201600,22,man,"Nancy, France",french,Native/bilingual,A levels,4,3,2,2,5,No,0,Never,alone,unlimited,Normal vision,2,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2019/03/20 5:21:59 PM UTC+2,201903201610,13,man,"Nancy, France",french,Native/bilingual,No diploma,1,1,5,1,3,Yes,10,A few weeks ago,alone,10,Daltonism,3,3,3,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2019/03/22 3:16:35 PM UTC+2,201903221400,57,woman,"Nancy, France",french,Native/bilingual,PhD,2,5,1,1,5,Yes,50,A few weeks ago,alone,unlimited,Normal vision,5,5,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019/03/23 11:18:53 AM UTC+2,201903231010,22,woman,"Heillecourt, France",french,Native/bilingual,"BA, BS/BSc",2,4,2,4,4,Yes,1,Several years ago,group,unlimited,Normal vision,3,4,3,4,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2019/03/23 11:20:45 AM UTC+2,201903231020,33,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,2,2,4,5,No,0,Never,group,120,Normal vision,2,2,4,4,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
2019/03/23 1:02:26 PM UTC+2,201903231210,18,woman,"Nancy, France",french,Native/bilingual,A levels,4,5,3,5,5,Yes,3,About a year ago,group,unlimited,Normal vision,1,1,3,5,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
2019/03/23 1:03:09 PM UTC+2,201903231200,55,woman,"Nancy, France",french,Native/bilingual,BTEC Higher National Diploma,2,3,3,1,5,Yes,1,Several months ago,group,unlimited,Normal vision,1,1,4,5,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2019/03/23 3:00:47 PM UTC+2,201903231400,19,woman,"Nancy, France",french,Native/bilingual,A levels,2,4,2,1,4,No,0,Never,group,unlimited,Normal vision,2,2,3,5,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1
2019/03/23 3:02:27 PM UTC+2,201903231410,47,woman,"Luneville, France",french,Native/bilingual,BTEC Higher National Diploma,3,4,3,3,5,No,0,Never,group,unlimited,Normal vision,2,2,3,5,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
2019/03/23 5:08:12 PM UTC+2,201903231610,30,man,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",3,5,4,1,5,Yes,25,Several years ago,group,unlimited,Normal vision,1,1,3,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2019/03/23 5:14:53 PM UTC+2,201903231600,45,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",4,2,1,4,5,Yes,30,A few weeks ago,alone,60,Normal vision,4,2,5,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2019/03/25 11:26:15 AM UTC+2,201903251010,33,woman,"Longchamp sous Chatenois, France",french,Native/bilingual,A levels,1,2,1,4,5,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,3,3,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
2019/03/25 11:26:18 AM UTC+2,201903251020,37,man,"Neufchateau, France",french,Native/bilingual,A levels,2,3,2,2,5,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019/03/25 1:17:59 PM UTC+2,201903251200,48,man,"Harmonville, France",french,Native/bilingual,BTEC Higher National Diploma,3,4,4,3,5,Yes,2,Several years ago,alone,60,Normal vision,3,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019/03/25 1:38:16 PM UTC+2,201903251210,33,woman,"Epinal, France",french,Native/bilingual,"BA, BS/BSc",2,5,2,3,4,No,0,Never,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,3,3,4,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
2019/03/27 1:16:58 PM UTC+2,201903271200,40,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,1,3,Yes,2,Several years ago,alone,60,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
2019/03/27 3:10:28 PM UTC+2,201903271410,18,man,"Nancy, France",french,Native/bilingual,A levels,2,3,2,4,3,No,0,Never,group,unlimited,Normal vision,2,2,4,4,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2019/03/27 3:11:03 PM UTC+2,201903271400,19,woman,"Nancy, France",french,Native/bilingual,A levels,3,5,4,3,4,Yes,5,Several months ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
2019/03/27 5:00:49 PM UTC+2,201903271610,26,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,4,2,3,4,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019/03/27 5:03:01 PM UTC+2,201903271600,28,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,5,2,4,5,No,0,Never,group,unlimited,Normal vision,4,4,3,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
2019/03/29 5:20:57 PM UTC+2,201903291610,52,woman,"Vandoeuvre-les-Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,1,5,5,Yes,5,Several months ago,alone,60,"Normal vision with visual correction device (glasses, lenses)",1,1,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2019/02/21 1:16:48 PM UTC+2,201902211210,28,man,"Natal, Brazil",Brazilian,Do not know,"Master's Degree, MS/MSc",5,4,3,3,5,No,0,Never,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,2,4,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2019/02/22 1:18:06 PM UTC+2,201902221210,43,man,"Karlsruhe, Germany",german,Do not know,"Master's Degree, MS/MSc",3,3,4,4,3,Yes,1,About a year ago,group,unlimited,Normal vision,1,1,4,5,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2019/02/22 1:18:55 PM UTC+2,201902221200,38,woman,"Karlsruhe, Germany",russian and german,Do not know,"Master's Degree, MS/MSc",2,4,5,2,5,Yes,1,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,3,4,5,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
2019/03/04 1:37:36 PM UTC+2,201903041210,34,woman,"Nancy, France",chinese,Basic,PhD,2,4,3,3,4,No,0,Never,alone,90,"Normal vision with visual correction device (glasses, lenses)",2,2,3,3,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
2019/03/13 3:13:57 PM UTC+2,201903131400,27,man,"Nancy, France",Ukrainian,Basic,"Master's Degree, MS/MSc",1,5,1,3,4,Yes,1,Several years ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2019/03/13 3:14:02 PM UTC+2,201903131410,22,woman,"Nancy, France",Ukrainian,Basic,"BA, BS/BSc",4,3,3,3,4,No,0,Never,group,unlimited,Normal vision,1,2,3,5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2019/03/21 5:34:53 PM UTC+2,201903211410,21,woman,"Caldwell, United States",American,Do not know,A levels,1,3,3,2,5,No,0,Never,group,90,Normal vision,2,5,1,5,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
2019/03/21 5:35:09 PM UTC+2,201903211400,19,man,"Wald-Michelbach, Germany",german,Do not know,A levels,3,3,3,2,3,No,0,Never,group,90,Normal vision,2,1,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
